Names,frequency
afrooz,4
gulzar,4
gulshan,4
iman,4
shahzadah,4
elham,4
salem,3
zia,3
mumtaz,3
janan,3
hanan,3
hayat,3
qamar,3
aroos,2
ramazan,2
ramez,2
armaghan,2
arman,2
armin,2
humayon,2
ramin,2
ramesh,2
asad,2
arsalan,2
naji,2
aref,2
najia,2
asadullah,2
asal,2
rajab,2
asefa,2
asghar,2
najib,2
hooria,2
rana,2
rasekh,2
husna,2
husnia,2
reshad,2
amir,2
ilham,2
razia,2
anahita,2
razi,2
andisha,2
razaaq,2
ikramullah,2
ikram,2
rateb,2
rasool,2
ikhtiar,2
ikhlas,2
ansar,2
ihteram,2
iftekharudin,2
iftekhar,2
rashed,2
ibrahim,2
ibn-sina,2
hoor,2
aqela,2
ashequllah,2
rahmatuallah,2
ashkan,2
hawa,2
azim,2
azin,2
azita,2
aziz,2
qutbudin,2
azizullah,2
qutb,2
baaqi,2
qurban,2
quraish,2
badi,2
bahadur,2
ashraf,2
bahar,2
baharah,2
baharak,2
bahaudin,2
najmudin,2
hasti,2
bahram,2
bakht-awar,2
bakhtiar,2
baktash,2
qudratuallah,2
rabaani,2
azam,2
najm,2
azadah,2
rahmat,2
homaira,2
homa,2
askar,2
aslam,2
rahim,2
najiba,2
atar,2
atash,2
ataullah,2
rahela,2
atefa,2
najibullah,2
rafiq,2
hemat,2
helal,2
atoosa,2
hekmat,2
awiza,2
hedayatullah,2
hedayat,2
hazrat,2
azad,2
imad,2
imadudin,2
reza,2
adel,2
abdullah,2
nadia,2
sakhi,2
sakhaa,2
sajed,2
sajad,2
saifudin,2
saifuallah,2
saif,2
adam,2
jaber,2
nadim,2
salaahudin,2
sahel,2
jabar,2
sahar,2
saghar,2
safiullah,2
itemad,2
safi,2
safdar,2
israr,2
afarin,2
afia,2
salaah,2
abdul-wares,2
ismat,2
abdul-razaq,2
abdul-qahar,2
abdul-qaher,2
abdul-qayom,2
abdul-qudos,2
abdul-rab,2
abdul-rafi,2
abdul-rahim,2
abdul-rahman,2
saleh,2
salar,2
jahan-ara,2
abdul-saboor,2
abdul-wali,2
abdul-salam,2
abdul-samad,2
abdul-sami,2
abdul-satar,2
abdul-shahed,2
jahan,2
jafar,2
abdul-wadood,2
habibah,2
abdul-wahed,2
naderah,2
afifa,2
ismail,2
amin,2
naghma,2
saadaat,2
intezar,2
intekhab,2
ali,2
aliah,2
insaf,2
rozbeh,2
roya,2
allah-bakhsh,2
roshan,2
almas,2
roohuallah,2
saba,2
rooh,2
inayatullah,2
rodaba,2
imtiaz,2
amanudin,2
amanullah,2
robabah,2
naieb,2
imdad,2
qudos,2
amena,2
iqbal,2
saber,2
afsana,2
islah,2
sadullah,2
afshan,2
afshar,2
afshin,2
afsoon,2
afzal,2
sadudin,2
islam,2
sadia,2
ahmad-ullah,2
sadi,2
sadeq,2
iraj,2
iskandar,2
sadaf,2
ajmal,2
akbar,2
sabrina,2
akhtar,2
isar,2
akram,2
irshad,2
sabet,2
alaudin,2
qudrat,2
bahman,2
barakat,2
fatemah,2
farooq,2
farshad,2
haliah,2
nateq,2
nsera,2
farukh,2
farzad,2
farzan,2
farzana,2
nouman,2
fateh,2
fathullah,2
farmanullah,2
nava,2
nawab,2
noorzad,2
noorulhaq,2
noorudin,2
noorahmad,2
fattah,2
fattanah,2
noor muhammad,2
fawzia,2
fayaz,2
farnaz,2
farman,2
fayeqah,2
faraj,2
omid,2
hamdast,2
faizudin,2
hamayoon,2
nasrudin,2
fakhri,2
fakhriah,2
fakhrudin,2
nasrullah,2
farah,2
farahnaz,2
farangiz,2
farkhonda,2
faraz,2
farhad,2
farhang,2
farhat,2
fariba,2
fariborz,2
farid,2
obaidullah,2
obaida,2
obaid,2
nastaran,2
noor,2
hakem,2
faisal,2
gul-chehrah,2
ghazi,2
ghazwan,2
nazer,2
ghiasudin,2
nazgul,2
hadi,2
negar,2
negah,2
neda,2
neamatullah,2
gul badan,2
gul-jan,2
ghazalah,2
gulab,2
neamat,2
nazi,2
nazia,2
gulnar,2
gulnaz,2
gulnessa,2
gulpari,2
nazilla,2
hadad,2
habib,2
ghazanfar,2
ghazal,2
fazel,2
forozendah,2
fazela,2
fazelrabi,2
fazlulhaq,2
fazlullah,2
feraidoon,2
fereshtah,2
haji,2
firooz,2
niko,2
forogh,2
forozan,2
haidar,2
ghayoor,2
niki,2
gawhar,2
naz-afarin,2
nazanin,2
niaz,2
nazem,2
nezamudin,2
ghamzah,2
nezam,2
nesar,2
hafez,2
faiz,2
fahima,2
barakatullah,2
qais,2
bolour,2
boosah,2
qandi,2
hasan,2
bostan,2
qamar-gul,2
bulbul,2
burhan,2
burhanudin,2
qalandar,2
qaisar,2
qaher,2
qandi-gul,2
namdar,2
camella,2
camellia,2
camila,2
qader,2
hares,2
narges,2
haqani,2
pooya,2
pooran-dokht,2
chaman,2
bina ,2
hashem,2
changiz,2
behnaz,2
barialay,2
jahan-khatoon,2
basel,2
baser,2
baset,2
hassam,2
bashira,2
basira,2
begum,2
behbood,2
behnam,2
hashmatullah,2
qasem,2
behrooz,2
qiam,2
behzad,2
belal,2
qayoom,2
beltoon,2
benafsha,2
hashmat,2
benyamin,2
besharat,2
bibi,2
chaman-gul,2
chehrah,2
fahim,2
elaha,2
hamzad,2
dorakhshenda,2
dost muhammad,2
parand,2
palwasha,2
durokhshan,2
ebadullah,2
ebrahim,2
hamza,2
hamraz,2
ehteram,2
elias,2
din muhammad,2
hamidullah,2
emad,2
ozra,2
enayat,2
eqbal,2
hamedah,2
ezatullah,2
faazel,2
