Names,frequency
mahesh,3
kanan,3
vasuki,3
chhabi,3
aayush,3
guna,3
kanika,3
rahi,3
dipu,3
kanishta,3
udaya,3
prabhas,3
guneet,3
raghav,3
kanthamani,3
abbas,3
bandana,3
sudipta,3
abeer,3
abha,3
tanay,3
sudhi,3
guru,3
anisa,3
prafulla,3
meenakshi,3
bhavani,3
adwitiya,3
indra,3
rishita,3
yaksha,3
gul,3
agasthya,3
nandi,3
doyel,3
aarna,3
kala,3
mani,3
ujala,3
anshu,3
chandrakanta,3
nilesh,3
shiva,3
bibhuti,3
uttam,3
arindam,3
kallol,3
avani,3
sai,3
alak,3
bakul,3
gopi,3
agnimitra,3
durva,3
manohari,3
charu,3
riddhi,3
sujit,3
yashodhara,3
raja,3
anmol,3
isha,3
kana,3
kanai,3
amal,3
mehdi,3
nimit,3
tanuj,3
puneet,3
hridika,3
trinayan,3
ameya,3
tuhina,3
sonu,3
hiranmay,3
moni,3
rohan,3
taral,3
arya,3
krishna,3
roja,3
shanti,3
kiran,3
deepjyoti,3
krishanu,3
priyadarshi,3
ruchir,3
tapas,3
tara,3
adhirath,3
adarsh,3
kishori,3
prem,3
mridul,3
deva,3
trisha,3
hemal,3
shabana,3
barnali,3
som,3
ritu,3
suchitra,3
prakriti,3
dhwani,3
dhurjati,3
dhruva,3
subrata,3
arpan,3
bharavi,3
abhinandan,3
milan,3
abhinav,3
puspa,3
abhineet,3
darpan,3
bhanu,3
abhiram,3
nakshatra,3
naksha,3
somya,3
riti,3
dheeraj,3
amber,3
dharuna,3
dayamay,3
hari,3
mitra,3
senthamarai,3
ambu,3
shashi,3
nimai,3
riju,3
shan,3
titir,3
paramesh,3
madhu,3
bishwa,3
suparna,3
nutan,3
apurba,3
sanchit,3
chanchal,3
parasmani,3
santosh,3
sampoorna,3
rangan,3
pamposh,3
aadhira,3
ganesh,3
champabati,3
bulbul,3
nitya,3
jaya,3
jyoti,3
jital,3
bijal,3
tejaswi,3
ramani,3
esh,3
gagan,3
manasa,3
manaar,3
sannidhi,3
vibhu,3
ajoy,3
gatha,3
nishikanta,3
apoorva,3
veera,3
shubhra,3
parijat,3
mahek,3
antara,3
ahan,3
pahal,3
niral,3
janya,3
bijoy,3
chandra,3
ranjan,3
palash,3
ajit,3
santoshi,3
akshaya,3
malak,3
jyothi,3
urmi,3
ravi,3
chandan,3
aaradhya,3
rajyashree,3
shoumo,2
shomili,2
hannan,2
hanita,2
hariaksa,2
shattesh,2
shaukat,2
shaurav,2
shoubhit,2
haribala,2
garg,2
garjan,2
hansuja,2
garati,2
gaveshan,2
gautam,2
gaurav,2
shashini,2
haridutt,2
hansaraj,2
shoora,2
gaura,2
har,2
gauri,2
hansanandini,2
hansdhwani,2
hansin,2
shoni,2
shaswati,2
gatik,2
shaswata,2
gathika,2
shaurya,2
hareendra,2
gaurinath,2
gaurishankar,2
harinarayan,2
harihar,2
gannaath,2
ganga ram,2
ganga,2
shantana,2
ganendra,2
shanmukh,2
gandhik,2
gandharika,2
shankhin,2
hastin,2
hayaam,2
shankhapani,2
gandhar,2
gandhali,2
shankhamala,2
ganapati,2
heena,2
ganadhakshya,2
heer,2
gamini,2
heerkani,2
hem,2
hema,2
shravani,2
shankar,2
hemadri,2
hasan,2
harusha,2
harshitha,2
sharda,2
hariharaatmaja,2
gangotri,2
harij,2
gangeya,2
harikrishna,2
sharmista,2
shavac,2
sharini,2
hariom,2
shari,2
shourya,2
hariram,2
shanu,2
harit,2
harita,2
harivilas,2
harjeet,2
gangadutt,2
sharadini,2
harmendra,2
sharad,2
harsha,2
harshi,2
harshit,2
gayana,2
gnanaoli,2
hana,2
shilish,2
shirin,2
shirdi prasad,2
shipra,2
gorakh-naath,2
goswamee,2
girish,2
gour,2
giriraj,2
gourab,2
gouranga,2
shimu,2
gourinandan,2
shilavati,2
grihalakshmi,2
shivanshi,2
govardhan,2
shila,2
shikha,2
shivasundari,2
girijabala,2
govindi,2
girija,2
shighra,2
heman,2
gowshik,2
greeshma,2
gopika,2
gopichand,2
girisha,2
shivansh,2
gnanathangam,2
gnanavelan,2
shivakanta,2
gnanamani,2
gobardhan,2
gobinda,2
gnanamagal,2
godavari,2
gnanachelvan,2
gitika,2
gogula,2
shivanit,2
golap,2
gitali,2
golapi,2
gita,2
shiv,2
goldy,2
gool,2
shitikanth,2
gopal,2
gopalgobinda,2
girvaan,2
shishirkumar,2
shishir,2
shivendra,2
grishm,2
hamsini,2
gyandeep,2
gurnam,2
gurpraveen,2
sheshdhar,2
gurudas,2
geeti,2
shkyasingha,2
shelly,2
gurupada,2
guruttam,2
sheil,2
gyana,2
shlesha,2
shehla,2
gudiya,2
shlok,2
geeta,2
sheetal,2
geet,2
shayna,2
haihaya,2
geena,2
shobhan,2
shawon,2
hamir,2
hamsa,2
shobhita,2
gurman,2
gurdeep,2
gehna,2
gurcharan,2
girichandra,2
shiveshvar,2
gulab,2
gira,2
gulsan,2
gunaakar,2
gunakar,2
ghusoon,2
gunamalar,2
gunaratna,2
ghulam nabi,2
gunayukth,2
ghulam ahmad,2
ghanika,2
gunith,2
gunjan,2
shivraj,2
shibananda,2
gunjita,2
gunwant,2
gupil,2
ghanashyam,2
ghanaanand,2
shevanti,2
ghaada,2
shefali,2
mrinank,2
hemanga,2
jagravi,2
sarla,2
jagjeevan,2
jagdish,2
jagdeo,2
jagatprakash,2
jagathi,2
jagath,2
saroj,2
jagat,2
saroja,2
jagannath,2
jaganmata,2
jaganarayan,2
jagajeet,2
jagadish,2
jagrav,2
sarita,2
satvik,2
sarit,2
sarayu,2
jainil,2
jaina,2
jaiman,2
jailekha,2
jaikrishna,2
jaigath,2
jaidev,2
jaidayal,2
sargam,2
sargini,2
jahi,2
sarin,2
jahanara,2
jagruti,2
jagadhidh,2
sarthak,2
jagadeep,2
jagadambika,2
ishu,2
sathish,2
ishita,2
ishi,2
ishayu,2
satindra,2
ishanika,2
ishan,2
satpati,2
satrajit,2
satrujit,2
isar,2
isaiarasu,2
irumporai,2
sattviki,2
ishvara,2
ishwar,2
ishwari,2
jabin,2
jagachandra,2
sarupa,2
sarvajit,2
sarvang,2
sarvani,2
sarvesh,2
jabeen,2
saswata,2
saryu,2
izhar,2
izdihaar,2
itkila,2
iti,2
sasthi,2
saravanamuthu,2
jairam,2
sarath,2
jaskaran,2
sanmay,2
jayad,2
sanny,2
jay,2
sansita,2
jatya,2
sanskar,2
jatindranath,2
jatindra,2
jatin,2
jataayu,2
santana,2
jasveer,2
jasum,2
santawana,2
jayalalita,2
jayanand,2
jayani,2
sanjushree,2
jayita,2
jayesh,2
jaydeb,2
sanjivani,2
sanjoli,2
sanju,2
jayashree,2
sankha,2
jayashish,2
jayashekhar,2
jayaprada,2
jayanti,2
jayanth,2
jayanta,2
jasmitha,2
jasima,2
jaisukh,2
jasbeer,2
jalpa,2
jalil,2
jalendra,2
saras,2
jalapa,2
jalal,2
sarasa,2
jalaja,2
jaladhi,2
jaladhar,2
sarasvat,2
jakarious,2
saraswathi,2
jaiwanti,2
jaivardhan,2
sarama,2
james,2
sarada,2
sanyam,2
santu,2
japesh,2
japan,2
sanu,2
sanwari,2
jansi,2
jannat,2
jaminie,2
jankesh,2
janisha,2
janessa,2
janav,2
janamejay,2
janakidas,2
iri,2
iravati,2
shampa,2
hrishab,2
hridoy,2
shabar,2
hridaynath,2
hridayanand,2
hridaya,2
shafi,2
hradha,2
honnesha,2
shagun,2
shahalad,2
shahana,2
hitendra,2
shravankumar,2
hirendra,2
hiranyadha,2
shaan,2
hrishita,2
iravan,2
hrishitaa,2
selvakumaran,2
husna,2
hurditya,2
selvanambi,2
selvarathinam,2
senajit,2
humaila,2
sendhilnathan,2
sendooran,2
senmal,2
seshserpent,2
hrithik,2
setu,2
seva,2
sevati,2
hiranya,2
hiran,2
shaila,2
shailaja,2
herambwa,2
hena,2
shalini,2
shalom,2
hemraaj,2
sham,2
shambari,2
shambhu,2
hemendu,2
shameena,2
hemdev,2
hemchandra,2
hemavati,2
shamindra,2
hemaraj,2
shaligram,2
shalalu,2
heti,2
shakib,2
shaildhar,2
hinda,2
hind,2
shaili,2
himesh,2
shakambari,2
himani,2
hilla,2
shakini,2
himagouri,2
himaghana,2
himadri,2
himadhri,2
himaanshu,2
selma,2
ibhya,2
idaspati,2
indranil,2
indumat,2
indumal,2
induma,2
indulekha,2
indukant,2
satyavrat,2
satyen,2
induja,2
saubhadra,2
indubhushan,2
saudamini,2
indu,2
indrina,2
saumyi,2
indrashish,2
satyashrawaa,2
satyarupa,2
induprabha,2
innisai,2
iraj,2
iraimani,2
iraianbu,2
ipsit,2
satya,2
ipsa,2
satyadev,2
satyamurty,2
iniyavan,2
iniyan,2
inimoli,2
satyajeet,2
satyakam,2
inesh,2
saurabh,2
indrani,2
seerat,2
indrakanta,2
ilancheliyan,2
ilampirai,2
ilamparidhi,2
ila,2
ikshu,2
iksha,2
ijay,2
ihita,2
sayuri,2
iham,2
scott,2
iffat,2
iditri,2
