Names,frequency
dokai,6
dechen,6
dojin,5
eido,4
daikaku,4
daikan,4
daiko,4
dainin,4
chugai,4
buddhamitra,4
bodhidharma,4
bassui,4
doryu,4
daibai,4
butsuju,4
dipankara,4
bupposo,4
chorei,3
chosui,3
chinshu,3
dohna,3
chozen,3
daiji,3
eshin,3
daiden,3
enmei,3
daishin,3
dawa,3
doyu,3
dolkar,3
diki,3
butsugen,3
pema,3
hakue,3
kanshin,3
karma,3
keisho,3
jikai,3
kobutsu,3
sangmu,3
koju,3
kokan,3
lhamu,3
ekaijinko,2
siddhartha,2
shakyasinha,2
getsuren,2
sovann,2
drdhahanus,2
sankalpa,2
munish,2
nima,2
sandeepen,2
partha,2
pasang,2
patakin,2
ekai jinko,2
tenzing,2
jiyu,2
genjin,2
hiten,2
gensho,2
genpo,2
genno,2
hodo,2
genki,2
genkai,2
genjo,2
taru,2
etsudo,2
tashi,2
tathagat,2
hosho,2
tathagata,2
hyma,2
indivar,2
jiho,2
tenzin,2
genko,2
druki,2
divijata,2
thuong,2
chiko,2
thura,2
cao,2
candavira,2
cais,2
cahya,2
budhh,2
buddha,2
bensen,2
basho,2
banzan,2
banko,2
bankei,2
baika,2
ashwaghosh,2
anzan,2
yangchen,2
chimon,2
budh,2
da shin,2
daido,2
dashin,2
dasbala,2
danasura,2
denkatsu,2
danan,2
daeshim,2
rinzen,1
sonam,1
soo,1
sook,1
sophea,1
tatharaj,1
tomoe,1
sovannah,1
tomo,1
sovay,1
suda,1
sunako,1
tomiichi,1
tokyo,1
tomohiro,1
tevy,1
siriporn,1
thanh,1
yangkyi,1
thien,1
wendywee,1
sandeepe,1
uttiya,1
upagupta,1
tylanni,1
sirikit,1
sarasija,1
tyag,1
trigya,1
tham,1
tho,1
suong,1
sunil,1
tadaaki,1
susu,1
taki,1
takato,1
takaya,1
tien,1
tida,1
ti,1
takeo,1
thuyet,1
takarra,1
thuy,1
thuan,1
taku,1
takuma,1
thuc,1
tasanee,1
takashi,1
takara,1
syaoran,1
taiga,1
teesta,1
tadashi,1
tae,1
taichi,1
tohru,1
tin,1
taiki,1
takako,1
tika,1
thi,1
taji,1
taka,1
takahiro,1
takai,1
abhaya,1
hopkins,1
pilar,1
dote,1
chandaka,1
choden,1
chuong,1
cudabhiksuni,1
dayakurca,1
dhanayus,1
dhiman,1
dorjee,1
drtaka,1
padmayani,1
erhi,1
fa,1
fai,1
feng,1
fu,1
fuji,1
fumihiro,1
fumiko,1
canh,1
candrasurya,1
caihong,1
buu,1
alisha,1
amandi,1
amitaruci,1
an,1
anantavikrama,1
ashoka,1
ashwin,1
avalokitesvara,1
bao,1
bhadrapala,1
bi,1
boddhidharma,1
bodhi,1
brahmadhvaja,1
bu,1
buddhanandi,1
budi,1
gang,1
gautam,1
genji,1
jiao-long,1
jimmyl,1
jimuta,1
jin,1
justeene,1
justen,1
kalden,1
kanishka,1
karambir,1
karamia,1
khajit,1
khalid,1
koge,1
koshing,1
lobsang,1
mingma,1
nawang,1
oren,1
jie,1
jayathi,1
genkaku,1
jayasurya,1
genkei,1
goldeheve,1
goldeholda,1
gunaketu,1
gurtej,1
gurtek,1
hakaku,1
hanumanta,1
hanumanth,1
heljo,1
hella,1
achara,1
hopkinson,1
issan,1
jahlee,1
jahleel,1
jasodhara,1
yeshe,1
