,weapons and tanks,navy ships,air weapons,historic aircrafts
0,new battle dress uniform  ,ins arihant ,dassault rafale,aero ae-45
1,indian army snow camouflage,ins kalvari ,sukhoi su-30,airspeed oxford
2,pc-dpm ,ins khanderi ,hal tejas,antonov an-12
3,high altitude combat uniform,ins karanj ,hal tejas,armstrong whitworth atalanta
4,bhabha kavach,ins vela ,mig-29,auster aop.6
5,bomb blast protection suit,ins sindhughosh ,mirage 2000,auster aop.9
6,cbrn suit,ins sindhuraj ,sepecat jaguar,avro anson i
7,head protective gear,ins sindhuratna ,mig-21,bell 47g-2
8,patka   ,ins sindhukesari ,awacs,boulton paul defiant tt.iii
9,mku mukut,ins sindhukirti ,emb-145,bristol blenheim i
10,tata advanced combat helmet,ins sindhuvijay ,beriev a-50,consolidated b-24j liberator
11,or-201,ins sindhurashtra ,reconnaissance,dassault ouragan 
12,exfil high cut ballistic helmet,ins shishumar ,boeing 707,dassault mystère iv
13,galvion viper p2,ins shankush ,boeing 737,de havilland canada dhc-3 otter
14,khukri,ins shalki ,global 5000,de havilland canada dhc-4 caribou
15,m9 bayonet,ins shankul ,gulfstream g100,de havilland devon
16,glock knife,ins vikrant ,electronic warfare,de havilland d.h.86b
17,pistol auto 9mm 1a,ins vikramaditya ,gulfstream iii,de havilland dragon rapide
18,glock,ins jalashwa ,tanker,de havilland tiger moth
19,beretta px4 storm,landing ship tanks,ilyushin il-78,de havilland vampire f.3
20,nonlinear line of sight weapons,ins magar ,transport,de havilland vampire fb.52
21,shootedge,ins gharial ,ilyushin il-76,de havilland vampire nf.10
22,drdo csws ,ins shardul ,boeing c-17,de havilland vampire nf.54
23,shotguns,ins kesari ,c-130j super hercules,de havilland vampire pr.55
24,12 bore pag,ins airavat ,antonov an-32,de havilland vampire t.11
25,smgs,ins cheetah ,eads casa c-295,de havilland vampire t.55
26,micro-uzi,ins guldar ,hawker siddeley hs 748,douglas dakota
