,defence secretary,chairman chief of defence staff,security advisor,chief army staff,chief naval staff,chief air staff,integrated defence staff,general medical service,serving admirals
0,g. s. bhalja,general sir robert mcgregor macdonald lockhart kcb cie mc ,"brajesh mishra[a], ifs","general maharaj shri rajendrasinhji jadeja, dso ","admiral sir charles thomas mark pizey kbe, cb, dso & bar ",air marshal subroto mukerjee obe ,"lieutenant general pankaj joshi pvsm, avsm",lieutenant general k. s. master mc,r. hari kumar
1,h. m. patel,"air marshal sir thomas elmhirst kbe, cb, afc, dl ","j. n. dixit, ifs",general satyawant mallana srinagesh ,"vice-admiral sir stephen hope carlill kbe, cb, dso & bar ",air marshal aspy merwan engineer dfc ,"vice admiral raman puri pvsm, avsm, vsm","lieutenant general daya ram thapar cie, obe",satish namdeo ghormade
2,b. b. ghosh,admiral sir william edward parry kcb ,"m. k. narayanan, ips","general kodandera subayya thimayya, dso ",vice-admiral ram dass katari ,air chief marshal arjan singh dfc ,"lieutenant general h. s. lidder uysm, ysm, vsm",lieutenant general d. n. chakravarti obe,ajendra bahadur singh
3,m. k. vellodi,general kodandera madappa cariappa obe ,"shivshankar menon,[5] ifs","general pran nath thapar, pvsm ",vice-admiral bhaskar sadashiv soman ,air chief marshal pratap chandra lal dfc ,"air marshal suresh chandra mukul avsm, vm, vsm",lieutenant general b. choudhury,biswajit dasgupta
4,o. pulla reddy,admiral sir charles thomas mark pizey kbe cb dso* ,"ajit doval, ips","general jayanto nath chaudhuri, obe ",admiral adhar kumar chatterji ,air chief marshal om prakash mehra pvsm ,"vice admiral devendra kumar joshi avsm, ysm, nm, vsm",lieutenant general b. m. rao,m a hampiholi
5,p. v. r. rao,air marshal subroto mukerjee obe ,,"general paramasiva prabhakar kumaramangalam, dso, mbe ","admiral sardarilal mathradas nanda pvsm, avsm ","air chief marshal hrushikesh moolgavkar pvsm, mvc ","vice admiral shekhar sinha avsm, nm",lieutenant general s. p. bhatia,r. b. pandit
6,a. d. pandit,general kodandera subayya thimayya dso ,,"field marshal sam hormusji framji jamshedji manekshaw, mc ",admiral sourendra nath kohli pvsm ,air chief marshal idris hasan latif pvsm ,"vice admiral s. p. s. cheema avsm, nm",lieutenant general c. c. kapila obe,sanjay mahindru
7,p. v. r. rao,"vice admiral ram dass katari pvsm, avsm ",,"general gopal gurunath bewoor, pvsm ",admiral jal cursetji pvsm ,"air chief marshal dilbagh singh pvsm, avsm, vm ","lieutenant general n. c. marwah pvsm, avsm",lieutenant general t. r. pahwa,dinesh k tripathi
8,v. shankar,air marshal aspy marwan engineer dfc ,,"general tapishwar narain raina, mvc, sm ","admiral ronald lynsdale pereira pvsm, avsm ","air chief marshal lakshman madhav katre pvsm, avsm ","lieutenant general anil chait pvsm, avsm, vsm",lieutenant general a. k. dev pvsm,sandeep naithani
9,h. c. sarin,vice admiral bhaskar sadashiv soman ,,"general om prakash malhotra, pvsm ","admiral oscar stanley dawson pvsm, avsm, adc ","air chief marshal denis anthony la fontaine pvsm, avsm, vm ",air marshal p p reddy vm,lieutenant general jagdish ram vaid frcs,sanjay jasjit singh
10,k. b. lall,general jayanto nath chaudhuri obe ,,"general kotikalapudi venkata krishna rao, pvsm ","admiral radhakrishna hariram tahiliani pvsm, avsm ","air chief marshal surinder kumar mehra pvsm, avsm, vm ","lieutenant general satish dua uysm, sm, vsm","lieutenant general b. bhattacharjya frcp, frcpe",d. s. gujral
11,govind narain,air chief marshal arjan singh dfc ,,"general arunkumar shridhar vaidya, pvsm, mvc, avsm ","admiral jayant ganpat nadkarni pvsm, avsm, nm, vsm, adc ","air chief marshal nirmal chandra suri pvsm, avsm, vm, adc ","lieutenant general p. s. rajeshwar pvsm, vsm",lieutenant general s. n. chatterjee mc,rajat datta
12,d. r. kohli,admiral adhar kumar chatterji ,,"general krishnaswamy sundarji, pvsm ","admiral laxminarayan ramdas pvsm, avsm, vrc, vsm, adc ","air chief marshal swaroop krishna kaul pvsm, mvc, adc ","vice admiral r. hari kumar avsm, vsm",lieutenant general ved prakash pvsm,naveen chawla
