Names,frequency
jaya,2
debjyoti,2
bijaya,2
ekata,2
debjani,2
pinku,2
sonu,2
bijit,2
bijoy,2
shashi,2
puja,2
kamalesh,2
shawon,2
kamlesh,2
apoorva,2
kanak,2
surya,2
hridoy,2
akshaya,2
kanishka,2
falguny,2
debal,2
mahee,2
maharnav,2
shiv,2
shiva,2
gagan,2
suraj,2
ahana,2
suman,2
supriya,2
vinaya,2
vinay,2
bandana,2
priyam,2
deva,2
ishvara,2
balvinder,2
jyoti,2
manvit,2
manu,2
sumon,2
senthamarai,2
dristinandan,2
baldev,2
prabal,2
durga,2
debu,2
bichitra,2
manjul,2
agasthya,2
sunny,2
agastya,2
soumitra,2
bidya,2
mani,2
usha,2
ambarish,2
aumkara,2
kashama,2
kiran,2
simran,2
rajni,2
kirti,2
arnav,2
chetana,2
gouranga,2
sima,2
tanmoy,2
ansh,2
shubham,2
gulzar,2
guna,2
thooya,2
tara,2
aradhya,2
hari,2
krithvi,2
chandra,2
anvi,2
apurba,2
rashmi,2
chandana,2
chandan,2
tejas,2
tanay,2
lakshya,2
trupti,2
gayathri,2
ameya,2
hira,2
darshana,2
madhu,2
roma,2
himanta,2
amol,2
bishwa,2
gaurav,2
swarn,2
lucky,2
ujjwal,2
tulasi,2
ujjal,2
biswal,2
keerthana,2
udipti,2
smran,2
shree,2
palak,2
lila,2
hemanta,2
arya,2
laxmi,2
prafulla,2
pavitra,2
yangkyi,2
dhanush,2
bansi,2
sukalpa,2
meenakshi,2
suji,2
samit,2
mehul,2
basanta,2
jai,2
aayu,2
saroj,2
dipa,2
bhavani,2
yashashwi,2
abhinandan,2
dharitri,2
dharma,2
preet,2
yogi,2
diganta,2
bhanu,2
santoshi,2
bhakti,2
prassanta,2
subhrata,2
moni,2
zubeen,2
mukul,2
chanchal,2
abhineet,2
jaan,2
dishu,2
satya,2
priyomboda,1
rajdip,1
priyambda,1
rajeev,1
pravasthi,1
rajdipa,1
praveen,1
rajdeep,1
rajesh,1
rajat,1
rajashri,1
pravin,1
rajashree,1
rajanti,1
rajan,1
raja,1
rajen,1
rajeshri,1
priyambada,1
rajhans,1
pravalitha,1
rajjak,1
rajivini,1
rajitha,1
rajika,1
rajib,1
raji,1
rajgopalan,1
rahul,1
rajgopal,1
rajeswarie,1
rajeswari,1
pravasmita,1
rajeswaree,1
rajeshwari,1
rajeshvari,1
raj,1
pravina,1
rahi,1
rabin,1
preety,1
rabisankar,1
priyangi,1
rabiram,1
rabindra,1
rabinda,1
preksha,1
rabilochan,1
rachanaa,1
rabhya,1
rabendra,1
prem,1
rabeena,1
prema,1
premal,1
rabeen,1
rachana,1
preetum,1
rajkumari,1
radhani,1
ragini,1
raghu,1
prayosha,1
raghav,1
rafael,1
radhika,1
prbhavati,1
radha,1
preetidhara,1
priyamvada,1
rachyati,1
preetha,1
rachita,1
rachayita,1
preeti,1
rachayata,1
rajkumar,1
rajnandhini,1
raam,1
ranbijay,1
rangana,1
ranga,1
rang,1
randhir,1
randeep,1
rancha,1
ranbir,1
rananjoy,1
pratikcha,1
rana,1
ramprosad,1
pratikhya,1
ramita,1
ramisa,1
ramila,1
rameswari,1
priya,1
ranhitha,1
pratyush,1
pratick,1
pratibha,1
ranjukta,1
ranjita,1
ranjit,1
priyadarshani,1
pratibhaa,1
pratichi,1
pratik,1
rani,1
ranjini,1
ranjila,1
pratika,1
priyaa,1
ranjika,1
ranjana,1
ranjan,1
ramen,1
rambha,1
rambati,1
rajosmita,1
rajrupa,1
pratiti,1
pratiusha,1
prativa,1
pratoshi,1
rajrani,1
rajosree,1
rajoshree,1
ramani,1
prattush,1
rajnil,1
pritusha,1
rajneeta,1
rajnandini,1
pratul,1
pratyosh,1
rajshekar,1
privika,1
rajshri,1
raju,1
ramanaa,1
pratiksha,1
pratima,1
ramana,1
ramakanto,1
ramaa,1
rama,1
ram,1
rakibur,1
pratimaa,1
rakhi,1
priyala,1
rakesh,1
rajvi,1
rajvardhan,1
rabbina,1
priyangsha,1
raakhi,1
protick,1
prish,1
prit,1
pritam,1
protsahi,1
protiva,1
protim,1
protika,1
protap,1
priodarshini,1
prosita,1
prith,1
prosit,1
pritheisa,1
prosenjit,1
prosanto,1
prosanta,1
proyas,1
prinsha,1
pronobesh,1
puhor,1
puloma,1
pulkit,1
prinav,1
