Names,frequency
anshu,2
pahal,2
rupal,2
maheswari,2
rup,2
debosmita,2
mahesh,2
runa,2
mahek,2
ankana,2
ujala,2
shuvo,2
rumay,2
debodrita,2
ankush,2
anisa,2
anmol,2
annada,2
pal,2
palas,2
palash,2
iman,2
debjyoti,2
debjani,2
mahalaya,2
udaya,2
uday,2
anshika,2
mahi,2
iffat,2
hiranmay,2
deepjyoti,2
amol,2
manasa,2
shri,2
sabira,2
manaar,2
man,2
sabari,2
omi,2
omkara,2
anan,2
hridaya,2
ananta,2
hridika,2
uma,2
hridoy,2
malak,2
urmi,2
hrishita,2
shubham,2
mainak,2
anika,2
anila,2
shubhra,2
pabitra,2
debu,2
rupanjan,2
pamposh,2
debdatta,2
antara,2
locket,2
maadhurya,2
apoorva,2
sivananda,2
lucky,2
apurba,2
dayamay,2
trinayan,2
rojoni,2
roja,2
rohan,2
lohitha,2
darshan,2
parvin,2
indra,2
darpan,2
isha,2
rizwan,2
ardhi,2
ishita,2
lila,2
liju,2
ishu,2
ishvara,2
arijita,2
ritu,2
daivik,2
siva,2
parin,2
deba,2
trisha,2
siddhartha,2
anu,2
ruchir,2
debashis,2
anuja,2
debarshi,2
panna,2
madhuram,2
tumpa,2
rownok,2
tulsi,2
tulshi,2
tulsa,2
sima,2
anuranjan,2
rosni,2
paramesh,2
tuhina,2
indu,2
paras,2
madhu,2
debal,2
parasmani,2
rony,2
parijat,2
manashi,2
sachi,2
gul,2
samdarshi,2
shawon,2
gyana,2
agnija,2
samiha,2
nilav,2
dhruva,2
agnimitra,2
sami,2
nilesh,2
nilkamal,2
nilkanta,2
mehdi,2
veera,2
dhun,2
ahan,2
ahana,2
sambhu,2
nimai,2
megha,2
ahijit,2
nimit,2
meet,2
hannan,2
meenakshi,2
shibananda,2
dheeraj,2
mehraz,2
nilanka,2
deva,2
vidhun,2
dibyendu,2
samriddha,2
nihar,2
guneet,2
shashi,2
adwitiya,2
adya,2
dibyajyoti,2
vidya,2
dibyadeep,2
milan,2
sampoorna,2
afrin,2
dhurjati,2
nikhilesh,2
shaswata,2
guru,2
nila,2
samit,2
niladri,2
vibhu,2
samiran,2
agasthya,2
dhwani,2
shaurya,2
nilanjan,2
ahona,2
niral,2
dharuna,2
alya,2
sahnaj,2
sahitya,2
alak,2
alekhya,2
ali,2
hemal,2
shourya,2
noor,2
alok,2
sagor,2
devansh,2
alvi,2
amal,2
veda,2
aman,2
shree,2
nur,2
himadhri,2
mani,2
amber,2
nutan,2
ambu,2
nuzhat,2
ameya,2
sadad,2
uttam,2
sai,2
nitya,2
manohari,2
nitu,2
vasuki,2
hari,2
nirmal,2
dhanya,2
shimu,2
nirupam,2
dhanush,2
sakthi,2
dhanshree,2
ajit,2
shiv,2
ajoy,2
shiva,2
nishat,2
varenya,2
manvit,2
nishikanta,2
nishita,2
manu,2
shivanit,2
vanshya,2
nishu,2
akil,2
akshaya,2
shlok,2
arindam,2
iti,2
aritra,2
subhrata,2
banti,2
biswal,2
joyanta,2
sutapa,2
rajni,2
barnali,2
baruna,2
bishwa,2
basanta,2
kashfi,2
kashama,2
subhra,2
basu,2
raju,2
suryakanta,2
surya,2
karthika,2
jyothi,2
bebo,2
jyoti,2
prosenjit,2
suborno,2
subrata,2
suriya,2
suri,2
bela,2
priyam,2
subhadeep,2
laxmi,2
ramani,2
premi,2
swastika,2
ramisa,2
swarup,2
baikuntha,2
keya,2
sritija,2
jital,2
bakul,2
bala,2
boni,2
swarn,2
prisha,2
priyadarshi,2
prit,2
boby,2
