Names,frequency
chintan,4
gunjan,4
oma,4
daya,4
odoti,4
durgesh,4
kiran,4
anmol,4
aakash,3
mukesh,3
antara,3
maruti,3
pavitra,3
purva,3
akshya,3
netra,3
santosh,3
pratima,3
geet,3
mangal,3
lali,3
jugnu,3
nirmal,3
bindu,3
tanu,3
bhavi,3
aditi,3
jeet,3
deepa,3
indra,3
deep,3
bhadra,3
gagan,3
komal,3
brijal,3
naval,3
nalin,3
het,3
nihal,3
anna,3
manav,3
hari,3
shyam,3
bali,3
akhila,3
himadri,3
akhil,3
kalash,3
bansi,3
bhuvi,3
manya,3
naman,3
binal,3
aruna,3
akshara,3
chit,3
manju,3
chirayu,3
bijal,3
sonu,3
chirag,3
jyoti,3
krishna,3
deval,3
astha,3
nitya,3
madhu,3
kajal,3
aadi,3
mahak,3
mahesh,3
chanchal,3
dhwani,3
amit,3
kundan,3
rajani,3
hemal,3
mahiya,3
jalpa,3
kusum,3
nilesh,3
avinashi,3
tejal,3
mayur,3
diya,3
aman,3
jinal,3
ujala,3
amar,3
meet,3
heer,3
janam,3
megha,3
gulzar,3
gulab,3
prabha,3
falak,3
kanya,3
deven,3
uma,3
nehal,3
vidhi,3
maya,3
hansh,3
bhavani,3
riti,2
artha,2
aradhya,2
dharti,2
dhaval,2
dharmini,2
arshu,2
krushna,2
arushi,2
arshia,2
kritish,2
shirish,2
iditri,2
kuntal,2
pani,2
shivoo,2
hriday,2
dharmishta,2
shivom,2
parmish,2
rohana,2
ibtihaaj,2
shinu,2
dhruva,2
dhruvangi,2
tript,2
tyagu,2
archana,2
shivananda,2
parinita,2
tulasi,2
dhimahee,2
dhimahi,2
dhir,2
shivaa,2
arij,2
trupti,2
arju,2
dharmesh,2
paramesh,2
paresha,2
dhiraj,2
dhiren,2
shivam,2
arjeeta,2
shivanit,2
hruday,2
arja,2
kuldeep,2
paresh,2
kshetra,2
arpita,2
ritul,2
arpit,2
rochana,2
shivin,2
arpana,2
arpan,2
kuhu,2
shivi,2
hridoy,2
kunjan,2
shiva,2
shital,2
hrikta,2
hrim,2
dheeraj,2
shivaya,2
shivay,2
pari,2
shiv,2
dhrumal,2
faina,2
shivu,2
pinkesh,2
atithi,2
tejaswi,2
rihana,2
tejesh,2
inika,2
dewanshi,2
atharva,2
kishore,2
kishori,2
riju,2
shree,2
pinkal,2
trilokya,2
induleksh,2
rijul,2
riku,2
dhairya,2
komali,2
dhan,2
indrani,2
shramm,2
phalguni,2
phalak,2
shram,2
piyush,2
inu,2
shreeyanshu,2
kirti,2
prabal,2
devsena,2
teerath,2
avadh,2
teerth,2
iravat,2
kiren,2
iravan,2
poorva,2
shreya,2
tej,2
shrey,2
ira,2
devu,2
aum,2
devvrat,2
shrestha,2
tejash,2
shresth,2
devya,2
atulya,2
tejashvi,2
poonam,2
koyal,2
dhanesha,2
dhani,2
rishav,2
shoham,2
rishi,2
dhanya,2
dhara,2
asha,2
iksura,2
krishva,2
aseelah,2
asawaree,2
parveen,2
shmrit,2
krisna,2
ikshu,2
tridiva,2
dharini,2
shloka,2
shlok,2
parul,2
dharma,2
shiya,2
arya,2
krithvi,2
shivy,2
dhanvi,2
ashi,2
ashwa,2
toya,2
shraddha,2
rinkal,2
indira,2
rinku,2
krinal,2
shorya,2
ashtu,2
kripa,2
kripal,2
tirth,2
tirtha,2
indeevar,2
rintu,2
ashmeet,2
pavana,2
dhanu,2
dhanush,2
dhanusha,2
ashish,2
ashisa,2
ashis,2
ashini,2
ashika,2
uday,2
laksha,2
shilpa,2
dishu,2
maddhur,2
shankar,2
dirgha,2
disha,2
angarika,2
hena,2
shanidhya,2
madhavi,2
hemu,2
dishant,2
dishita,2
ruhin,2
shankara,2
vamshi,2
hemlata,2
madhukar,2
divamani,2
vanita,2
madhur,2
hemendra,2
nityam,2
madhuri,2
ananti,2
divesh,2
dipu,2
nivedita,2
nupur,2
sharad,2
rudray,2
anjana,2
dipam,2
sharath,2
anjal,2
sharanam,2
sharan,2
anit,2
sharal,2
dipesh,2
anish,2
dipika,2
anika,2
lucky,2
