Names,frequency
kanan,2
pina,2
vaish,2
kishori,2
kishore,2
pitambari,2
kiruba,2
kirtinath,2
atharva,2
kirti,2
kirtana,2
kirit,2
vaida,2
kiren,2
vaibhavi,2
kireeti,2
kirat,2
astha,2
piku,2
keyura,2
pihu,2
ashoka,2
ashooja,2
pavithra,2
ashu,2
kotijit,2
pawn,2
vajrashri,2
ashvini,2
koshin,2
komala,2
komal,2
kokaha,2
kohinur,2
asmi,2
vaishnava,2
kiranila,2
kiran,2
vagmi,2
atri,2
uttiya,2
uttara,2
khushal,2
utsavi,2
utsava,2
utsah,2
pracheta,2
utpala,2
utkhala,2
utkarsh,2
utanka,2
pradyumna,2
khamari,2
badari,2
usha,2
khushee,2
khushi,2
khwab,2
kichadh,2
aum,2
kinjal,2
kinal,2
avanish,2
vachan,2
kichu,2
vaasu,2
vaani,2
kiara,2
poya,2
avi,2
avighna,2
khyath,2
khyat,2
kovalum,2
pavi,2
kovidh,2
parithi,2
kruthan,2
paresha,2
vardana,2
pari,2
arit,2
aritra,2
krupali,2
krupal,2
arju,2
vara,2
parinda,2
parineeti,2
kritya,2
paris,2
kritika,2
kruttika,2
kshama,2
varij,2
paramjit,2
arav,2
aravali,2
paramesh,2
archa,2
paramjeet,2
archan,2
paramjyoti,2
arha,2
varnika,2
kshitija,2
kshirin,2
kshetra,2
parasmani,2
arghya,2
kriti,2
paritosh,2
ashna,2
parjanya,2
patalika,2
patanjali,2
kripal,2
vamsi,2
kripa,2
krinal,2
krina,2
patralika,2
kranti,2
ashita,2
vallari,2
vallaki,2
vallabha,2
ashmi,2
koyal,2
vanamala,2
aryama,2
aryaki,2
krishva,2
vanjul,2
arsha,2
arshi,2
krisna,2
vanishta,2
artha,2
arudra,2
vanamalli,2
krishnan,2
vandit,2
krishna,2
krishma,2
vandan,2
krishan,2
bahar,2
keyur,2
neethu,2
karan,2
tushar,2
turyamaya,2
turanya,2
kapila,2
bhoomika,2
tungavena,2
tungabhadra,2
tunava,2
bhor,2
tulya,2
kanwal,2
tulsi,2
tuliphala,2
kanu,2
kanti,2
tushara,2
tushnimsara,2
urvashi,2
bhe,2
udbhava,2
udayana,2
udaya,2
karuna,2
karun,2
udara,2
udanya,2
karthiga,2
uchit,2
karthi,2
tyagu,2
tyagi,2
pre,2
tuya,2
karma,2
bhumi,2
kanthi,2
tula,2
kanta,2
prity,2
kancha,2
kanav,2
kanal,2
priyabrata,2
priyadarshi,2
kanaka,2
kanak,2
kanai,2
binu,2
priyal,2
priyam,2
kamya,2
kamna,2
priyank,2
kanchana,2
kanda,2
bilva,2
kanishka,2
tshering,2
kannu,2
kannmani,2
kannan,2
triveni,2
prit,2
bibin,2
prithvi,2
kanish,2
kanika,2
bijal,2
bijoy,2
trishla,2
biju,2
bhargavi,2
kasha,2
uddeshya,2
bebo,2
upala,2
bama,2
kendra,2
bani,2
bansi,2
keerti,2
banti,2
banu,2
keerthana,2
umrao,2
umeed,2
umber,2
basil,2
basu,2
umang,2
kenum,2
prakriti,2
bali,2
urjita,2
keval,2
urmiya,2
ketu,2
bakul,2
urmil,2
bala,2
urjani,2
kesar,2
urja,2
kesu,2
keshu,2
keshto,2
uphar,2
kesari,2
batuk,2
uma,2
bharathi,2
kavy,2
kausar,2
bhagwati,2
kathan,2
udu,2
uditi,2
udit,2
kastur,2
kasish,2
udhaya,2
kasi,2
bhanu,2
kashu,2
kashta,2
kashin,2
kashi,2
kausha,2
uhana,2
ujala,2
ujwal,2
beenu,2
bela,2
beli,2
kavita,2
ulasa,2
ulas,2
ujval,2
ujas,2
kavi,2
kaveri,2
kavera,2
kavana,2
ujjal,2
ujay,2
arashi,2
aranya,2
vartika,2
mahek,2
alekya,2
viritha,2
alin,2
ninu,2
virata,2
alok,2
aloki,2
nir,2
viraaj,2
amal,2
amalendu,2
aman,2
amandeep,2
mahak,2
amani,2
mahee,2
nilu,2
araj,2
maher,2
akshu,2
akshya,2
nilani,2
vishal,2
akta,2
mahima,2
mahil,2
mahik,2
visha,2
vish,2
alabhya,2
mahi,2
alak,2
alaka,2
nilmani,2
amar,2
vipasa,2
maha,2
vinu,2
vinaha,2
ammu,2
nishank,2
nishath,2
amol,2
nishika,2
nishikanta,2
vilash,2
amritaya,2
nishita,2
amruta,2
viksha,2
nishtha,2
maahi,2
amuthan,2
madhi,2
vinamra,2
madhu,2
nirupam,2
magana,2
nirmala,2
madin,2
ambi,2
ambika,2
vinita,2
vineet,2
nish,2
amil,2
madhukar,2
madhukanta,2
vinayka,2
amit,2
nischal,2
mahir,2
akshra,2
mahiraj,2
ajitha,2
nethra,2
ajanta,2
vitola,2
manasa,2
manas,2
ajatha,2
ajay,2
ajaya,2
manana,2
manan,2
vitasta,2
ajendra,2
ajeya,2
ajinkya,2
man,2
vittal,2
manasi,2
nesayem,2
viyogi,2
mangla,2
mangal,2
aifa,2
