Names,frequency
bhavesha,2
bakul,2
sathya,2
balamani,2
balakrishna,2
sathisha,2
sathish,2
misri,2
akalpreet,2
akand,2
akarsh,2
bala,2
minal,2
akshaya,2
shyla,2
sasi,2
sidda,2
hira,2
bahula,2
tulasi,2
kshirin,2
jivana,2
hitaishi,2
bagavathi,2
ajitha,2
vishal,2
omprakash,2
hetal,2
vishu,2
mohana,2
krisna,2
aja,2
rohin,2
ajaipal,2
chinnu,2
ajamil,2
ajanta,2
suraj,2
ajatashatru,2
ajaya,2
satisha,2
roja,2
durva,2
supriya,2
chirag,2
mithra,2
het,2
ajit,2
vishalya,2
kshitija,2
vinoda,2
krishnendu,2
kunja,2
sarit,2
maysoon,2
kundan,2
daivik,2
pandu,2
maya,2
may,2
sarbani,2
sarayu,2
pulak,2
amani,2
mehal,2
panna,2
uditha,2
dakshina,2
hruthik,2
kunshi,2
sarasi,2
dinesha,2
vijul,2
maruti,2
pruthvi,2
kunda,2
jhoomer,2
vimal,2
medh,2
pahal,2
pakhi,2
akshu,2
tushara,2
palak,2
palaksha,2
palakshaa,2
kuldeep,2
baasima,2
sunand,2
divya,2
megha,2
vinaya,2
vinay,2
meet,2
alak,2
pallavi,2
puneet,2
punarva,2
udaya,2
saroj,2
vishva,2
dyumna,2
amartya,2
adithya,2
adikavi,2
adil,2
shrikanta,2
riju,2
rijul,2
adinath,2
adipurush,2
muna,2
kirti,2
aditeya,2
kala,2
bavani,2
aditya,2
rinku,2
mukta,2
adnan,2
adripathi,2
nithi,2
advait,2
advaita,2
seemanta,2
kaivalya,2
adi,2
eshwari,2
kalapriya,2
kiren,2
adeep,2
falak,2
adesh,2
adham,2
shreya,2
raja,2
ridey,2
sha,2
harisha,2
adhik,2
adhikara,2
wafeeqa,2
adhip,2
adhipa,2
seva,2
adhiraj,2
shri,2
setu,2
suvarn,2
kirat,2
adhita,2
advay,2
komal,2
satya,2
shubham,2
rachit,2
saumya,2
heer,2
agnivesh,2
kripa,2
agrata,2
rachaita,2
agrim,2
agrima,2
banu,2
ahan,2
nithya,2
toya,2
suresha,2
moni,2
krishi,2
shubhra,2
krishna,2
chidananda,2
ahmad,2
hemanth,2
tridiva,2
chethanya,2
chethana,2
agnello,2
aghosh,2
adwaita,2
shrisha,2
basudha,2
rag,2
basistha,2
adya,2
savya,2
mrinal,2
viveka,2
mrinaal,2
ritesh,2
vittal,2
agamjeet,2
rithika,2
agasthya,2
basanta,2
ekantha,2
agendra,2
tirtha,2
agharna,2
aghat,2
vijetha,2
siva,2
shreshta,2
mahima,2
prathima,2
anmol,2
anna,2
poorva,2
sudhakara,2
saee,2
veda,2
anoop,2
mahin,2
ansh,2
mahi,2
sridhara,2
anshu,2
sahana,2
deepu,2
mahesha,2
mahesh,2
anu,2
samit,2
samiran,2
sri,2
samidha,2
janu,2
ankal,2
dhanu,2
asha,2
vachan,2
lav,2
soumyakanti,2
ashoka,2
dharma,2
jasmit,2
jaskaran,2
sanchit,2
laxmi,2
malaya,2
dharani,2
sowmya,2
dhanya,2
malak,2
sanam,2
sanabhi,2
deep,2
anjaneya,2
karnapriya,2
sadhvi,2
maitreya,2
artha,2
prashansa,2
induleksh,2
salarjung,2
varsha,2
samantha,2
madu,2
devaiah,2
maadhurya,2
apoorva,2
varij,2
deval,2
arij,2
vanhi,2
madhur,2
lohitha,2
jaimini,2
arha,2
pranathi,2
jaggu,2
prana,2
saket,2
jahan,2
madhukar,2
pramoda,2
madhuchanda,2
arja,2
pragyan,2
samar,2
devi,2
vasistha,2
devya,2
devsena,2
ja,2
prasanna,2
arpit,2
samdarshi,2
vama,2
sambhu,2
pradnya,2
sai,2
srinidhi,2
srinivas,2
vasant,2
anuva,2
vamsi,2
arjuna,2
maha,2
devadatta,2
varuna,2
pranjal,2
ashtu,2
dharmi,2
vijeta,2
parmesha,2
prithvi,2
sukrit,2
vidya,2
amol,2
darani,2
ikshu,2
smran,2
manmit,2
iksura,2
dhruva,2
vidhya,2
amulya,2
rutva,2
snehanshn,2
sukh,2
parnal,2
sanobar,2
darshan,2
manju,2
parnik,2
princy,2
sannidhi,2
vidyadhar,2
ammu,2
dhwani,2
skanda,2
suman,2
avinasha,2
priyesh,2
vijaya,2
suloch,2
ibtihaaj,2
rusham,2
ambu,2
priyam,2
manvit,2
paras,2
ameya,2
jeeva,2
sanwariya,2
priyadarshi,2
manu,2
sivay,2
danusha,2
santoshi,2
santosh,2
dhyana,2
prina,2
jayashree,2
sougat,2
suhasini,2
anarghya,2
venu,2
saanjh,2
daya,2
mandeep,2
preeth,2
jaya,2
mandakranta,2
pavithra,2
utsav,2
ashwini,2
laksha,2
suhas,2
sanidhya,2
manasa,2
sonu,2
sopan,2
sangita,2
sabrang,2
sangeetha,2
manaal,2
sangeeth,2
lali,2
somi,2
ananya,2
dheeraj,2
iman,2
anaan,2
sankul,2
dhiya,2
inaam,2
sa,2
vibhu,2
sankara,2
inas,2
ananda,2
pasha,2
soma,2
lakshmi,2
sujaya,2
mani,2
sanju,2
anandi,2
prema,2
lalan,2
anantha,2
pavana,2
adeel,2
madhu,2
tejashwini,2
tamoghna,2
chandra,2
kanwal,2
rajyashree,2
shan,2
halesha,2
ganesh,2
ganesa,2
shashikala,2
gandhara,2
shamshad,2
abhik,2
rajveer,2
hamsa,2
rangana,2
rajul,2
abhilash,2
shirish,2
kana,2
kanush,2
bhavya,2
nairutya,2
keerthana,2
abhaya,2
keerthi,2
neethu,2
abhayananda,2
abhayaprada,2
abheek,2
abhi,2
abhibhava,2
taru,2
abhicandra,2
shivu,2
ramya,2
neeranjana,2
kamlesh,2
kesar,2
nila,2
gitashri,2
bindhu,2
nagarathna,2
abhiraam,2
neelam,2
abhirath,2
ranjan,2
chandrakin,2
bhashma,2
shameet,2
abhirup,2
bharti,2
aadya,2
rajini,2
keva,2
kashi,2
nauka,2
abhinivesh,2
girisha,2
tanaya,2
abhineet,2
yashaswi,2
neelesh,2
tarani,2
abhinandan,2
abhinandana,2
kesav,2
abhinatha,2
abhinav,2
girika,2
buddhipriya,2
bhavani,2
neelanjana,2
bhavana,2
hansa,2
chandraja,2
bheema,2
kanta,2
neela,2
chaitra,2
nandan,2
nandana,2
nihal,2
shivapriya,2
yogananda,2
kavin,2
kavya,2
aarth,2
nesara,2
naman,2
aarpit,2
chaithra,2
nandi,2
gursharan,2
shantipriya,2
aariz,2
shivananda,2
tejal,2
aarya,2
aaryan,2
bhumi,2
aashman,2
gunjan,2
sharanya,2
aashutosh,2
yayati,2
nibaal,2
sharath,2
aasha,2
aash,2
nanda,2
kanishka,2
tej,2
teja,2
kanishta,2
nesayem,2
aatish,2
kanak,2
teju,2
rama,2
aaradhya,2
chandana,2
yogi,2
shanmuka,2
sharu,2
gulzar,2
nehal,2
chaitanya,2
aapt,2
shiva,2
shiv,2
abedin,2
aanjaneya,2
abeer,2
rakshitha,2
chandan,2
kavana,2
aayush,2
aayu,2
kanav,2
tejaswi,2
bhuvana,2
chanchal,2
shantha,2
aatreya,2
aarif,2
geet,2
aarav,2
yasti,2
kanan,2
ganjan,2
chand,2
nakshatra,2
swetha,2
gahana,2
aashish,2
aaditya,2
bhanupriya,2
ranjitha,2
karma,2
yakootah,2
yaksha,2
nawar,2
aadesh,2
tanmaya,2
khairiya,2
nirupam,2
hara,2
nawal,2
karunya,2
shreenidhi,2
sheetal,2
happy,2
tanvi,2
karthik,2
shey,2
rhiday,2
