Names,frequency
krishnendu,2
shibu,2
rhiday,2
ambili,2
vishnu,2
ambu,2
rujul,2
jayani,2
vishnumaya,2
kishore,2
milan,2
harish,2
maitreya,2
vishu,2
sijo,2
vishva,2
sanam,2
athi,2
athira,2
panna,2
lakshya,2
minal,2
ameya,2
drishya,2
ami,2
adhi,2
sherin,2
athula,2
anvi,2
haritha,2
aswini,2
moni,2
ambi,2
asiya,2
prajwal,2
kripa,2
malaya,2
malavika,2
mehul,2
nirupam,2
lakshanya,2
indumauli,2
devika,2
adithya,2
amaris,2
harshini,2
rashmi,2
theju,2
prema,2
shiju,2
devi,2
harshal,2
theertha,2
harsha,2
uma,2
ambar,2
vishalya,2
niranjana,2
tharun,2
divya,2
vishwa,2
prina,2
unni,2
kirti,2
paras,2
anusha,2
anush,2
sanju,2
dyumna,2
priya,2
tejal,2
vasuki,2
amol,2
shashi,2
viveka,2
nihal,2
priyadarshi,2
hana,2
jaya,2
sankul,2
hamsa,2
sharu,2
ramra,2
sharon,2
pragnya,2
vasu,2
anuranjan,2
usha,2
shari,2
amritambu,2
deval,2
ammu,2
kichu,2
suman,2
simrit,2
jwala,2
sri,2
chinnu,2
nilaya,2
isha,2
kiren,2
rudrapriya,2
simi,2
rhudai,2
durga,2
ishana,2
paramesh,2
kiran,2
mahesh,2
mahi,2
achu,2
misri,2
hari,2
mitali,2
durva,2
atulya,2
rangana,2
sindhu,2
suloch,2
mithu,2
rudra,2
mehal,2
rasna,2
amal,2
dhruva,2
arja,2
arun,2
vijul,2
sahana,2
dheera,2
dheeraj,2
prashansa,2
jeevan,2
manikandan,2
vidhu,2
shukla,2
prashitha,2
arij,2
sabari,2
shree,2
aja,2
manvit,2
kuvam,2
mani,2
arya,2
chandra,2
hiral,2
saavan,2
sai,2
kshirin,2
arha,2
laalamani,2
saguna,2
sagun,2
aji,2
prasanna,2
kunshi,2
chandran,2
vidyut,2
pranjal,2
prasad,2
manjyot,2
rejitha,2
vijaya,2
kundan,2
kunda,2
vijayam,2
vijayan,2
hridoy,2
dhanya,2
vidya,2
ajitha,2
hridhya,2
praneeth,2
vijeta,2
viji,2
dharuna,2
dhatri,2
sagan,2
ajina,2
shri,2
chane,2
tridiva,2
alak,2
samaya,2
ardra,2
reshma,2
devsena,2
praveen,2
venu,2
apurva,2
sakshi,2
sakthi,2
hemadri,2
rusham,2
hem,2
aloki,2
pahal,2
pakhi,2
pravya,2
shiva,2
nishay,2
shiv,2
sibi,2
appu,2
siby,2
krishna,2
palak,2
ratheesh,2
suhas,2
thulasi,2
shinu,2
advay,2
chaitanya,2
saju,2
devya,2
nithya,2
chandan,2
udaya,2
renjith,2
ahana,2
sajana,2
chanchal,2
ashank,2
hetal,2
archa,2
mandakranta,2
ina,2
agrata,2
sajil,2
resham,2
inas,2
ravi,2
nithin,2
chaman,2
vineet,2
matram,2
toya,2
rutva,2
chatura,2
indra,2
manasa,2
chaitra,2
ridhu,2
tulasi,2
madhur,2
muthu,2
kallol,2
aadya,2
anila,2
rajitha,2
anshu,2
japa,2
karthika,2
nandu,2
ritu,2
satya,2
navneet,2
smran,2
smrita,2
kamal,2
yasti,2
raja,2
sree,2
ritul,2
rajila,2
bhavya,2
gopi,2
murali,2
aarya,2
syama,2
riti,2
shamal,2
vama,2
sarath,2
deepu,2
sarayu,2
nandi,2
bhakti,2
rajul,2
kavya,2
girisha,2
suraj,2
varana,2
naina,2
skanda,2
savya,2
aasha,2
aash,2
geethu,2
badusha,2
kavin,2
shaji,2
anika,2
mukunda,2
sethu,2
