Names,frequency
krishang,2
rajul,2
lalan,2
ramana,2
toya,2
avneet,2
raksha,2
lavana,2
rakesh,2
tridiva,2
avinashi,2
rajvir,2
avi,2
lochan,2
laxmi,2
avdhut,2
avanish,2
raji,2
trisha,2
rajhansa,2
rajhans,2
likhit,2
rajha,2
aumkara,2
ayusha,2
lakshya,2
tirtha,2
tinku,2
kunshi,2
tejaswi,2
kuntal,2
balamani,2
balaji,2
kushal,2
bala,2
tejitha,2
bakula,2
bakul,2
ranjita,2
ranjit,2
ranjan,2
laalamani,2
bahula,2
rangana,2
ladu,2
lahar,2
ramya,2
ramra,2
lakshanya,2
atulya,2
rajdulari,2
rashmi,2
ashcharya,2
ashwani,2
madhu,2
raghav,2
madhuchanda,2
tyagu,2
ucchal,2
madhukar,2
ashtu,2
madhur,2
rachaita,2
mahabir,2
tritiya,2
mahak,2
ujjwala,2
ujval,2
aryama,2
ujwala,2
arya,2
mahaniya,2
arva,2
uma,2
pushpaja,2
ashwini,2
maddhur,2
ragi,2
turvi,2
rajaya,2
rajata,2
atmaja,2
atiya,2
trupti,2
rajas,2
athiya,2
tuhina,2
atharva,2
tula,2
lord,2
tulsa,2
raja,2
tulya,2
tunga,2
tungabhadra,2
maadhurya,2
tungavena,2
maahi,2
rahi,2
turanya,2
baldev,2
rasika,2
arun,2
kripasagar,2
kotijit,2
koundinya,2
kovalum,2
kovidh,2
bharti,2
bhargavi,2
bharavi,2
kriday,2
kripa,2
kripal,2
krish,2
tanveer,2
reth,2
ret,2
bhanu,2
krishankanta,2
tanuj,2
krishanu,2
reshma,2
krishendu,2
resham,2
bhakti,2
bhava,2
koshin,2
bhavani,2
rhudai,2
bhrigu,2
rinku,2
bhor,2
khyath,2
khyati,2
rijul,2
riju,2
syama,2
kiranmay,2
kirpal,2
kirtana,2
taj,2
ridey,2
bhavya,2
bhavishya,2
ridam,2
ridaiya,2
bhavi,2
kohinoor,2
komal,2
tamoghna,2
krishna,2
krishnadeva,2
kundan,2
bandhula,2
kshirin,2
tasha,2
ratnesh,2
kshitij,2
kshitipal,2
kuber,2
kuberchand,2
kuldeep,2
rati,2
bandya,2
tej,2
bhagya,2
tejal,2
ratana,2
ratan,2
tejas,2
rasna,2
tejash,2
tejashri,2
bally,2
kunda,2
rasmi,2
kshiraj,2
kshipra,2
taru,2
kshemandhar,2
tapashvi,2
bhagwanti,2
krisna,2
kritagya,2
tapasya,2
kritanu,2
kriteyu,2
krithvi,2
tara,2
kriti,2
tarachand,2
bhadra,2
kritsnavidh,2
kritya,2
ravikiran,2
kshama,2
