Names,frequency
subhpreet,2
prathap,2
kamaljot,2
kamaljit,2
kamaljeet,2
kamaldeep,2
kamal,2
suddhman,2
kamaalit,2
bhupinder,2
kalajot,2
kalwinder,2
prathvi,2
suchiaar,2
suchetan,2
kalpana,2
kaljit,2
sucham,2
sudhman,2
kamalnain,2
kamalpati,2
kamalpreet,2
kanan,2
bhavnoor,2
bhavpreet,2
sujan,2
kamya,2
bhavya,2
kamneev,2
bhawandeep,2
suhejdeep,2
bhawanjot,2
praneet,2
pranjal,2
kamalvir,2
sughar,2
sufi,2
kalapi,2
praveen,2
kanchanjot,2
bishneet,2
birinder,2
princy,2
sree,2
sravani,2
prit,2
sparsh,2
jugdeep,2
prith,2
kala,2
bismeet,2
biswajit,2
sorya,2
jotpal,2
prito,2
jotleen,2
bobby,2
prince,2
jusdeep,2
jusmeet,2
juspreet,2
kajal,2
subhdeep,2
subhaya,2
subhay,2
preet,2
kailash,2
kableen,2
preetpal,2
preetum,2
prem,2
binder,2
binit,2
jyotpreet,2
jyot,2
jwala,2
bhavneet,2
bhavleen,2
pritpal,2
sukhmandeep,2
sukhmeet,2
karamvir,2
sukhmanpreet,2
sukhmanjot,2
bhagya,2
sukhmandir,2
karamjot,2
karamjit,2
sukhjinder,2
karamjeet,2
sukhman,2
karam,2
sukhleen,2
sukhjot,2
kapila,2
sukhjit,2
sukhminder,2
karanbir,2
prabhsimran,2
karanjit,2
sukhroop,2
karanveer,2
sukhrajpreet,2
sukhraj,2
sukhquinder,2
karansukh,2
sukhpreet,2
prabhseetal,2
sukhpinder,2
sukhpal,2
sukhnoor,2
karanpreet,2
prabhsimar,2
sukhneet,2
karanjot,2
kanwarsukh,2
sukhjeet,2
bhavjot,2
bhavanpreet,2
sukhan,2
sukhamrit,2
bhavana,2
bhavandeep,2
bhavani,2
sukha,2
sukh,2
bhavdeep,2
kanwarjot,2
sukdeep,2
bhavi,2
sujot,2
prajna,2
kandraya,2
bhavjeet,2
sujeet,2
prageet,2
kanwal,2
sukhbeer,2
sukhbinder,2
kanwarjodh,2
sukhinder,2
sukhi,2
sukhdip,2
bhanu,2
kanwargun,2
kanwardeep,2
sukhdeep,2
kanwalroop,2
kanwaljot,2
kanwaljit,2
kanwaljeet,2
kanwaldeep,2
sukhbir,2
bharti,2
boby,2
priyaa,2
sidak,2
jaya,2
jaydeep,2
simerpreet,2
simerjit,2
simerjeet,2
simerdeep,2
simarpreet,2
rai,2
simarleen,2
daljeet,2
simarjot,2
dalbeer,2
dalbinder,2
dalbinderjit,2
dalbir,2
simarjit,2
javneet,2
simrandeep,2
simranjeet,2
simranjit,2
chraranpal,2
siripritam,2
chintan,2
siopareet,2
chiranjit,2
sinda,2
chitleen,2
sinap,2
simu,2
simratpal,2
simrath,2
simrat,2
chitsaroop,2
simranpal,2
simrankaur,2
chotu,2
simardeep,2
raja,2
chiku,2
jasween,2
rajbir,2
jaswinder,2
jaswindar,2
rajdeep,2
sidhak,2
dapinder,2
jasweer,2
jaswant,2
daljit,2
darminder,2
jasvir,2
darpan,2
rajdip,2
rajender,2
jasveer,2
darshan,2
sidhu,2
rajbinder,2
rajbeer,2
damneet,2
daljot,2
dalmeet,2
simar,2
simanpreet,2
sikhal,2
dalvinder,2
sikh,2
dalwinder,2
daman,2
damandeep,2
rajanpreet,2
damanjeet,2
jatinder,2
sihan,2
damanpreet,2
chinku,2
sirisimran,2
sonu,2
puranjot,2
puneet,2
jobanpreet,2
jobandeep,2
sojala,2
jiwanjot,2
purandhri,2
chahal,2
jivanjot,2
chanchal,2
jitinder,2
sochai,2
sobha,2
chamkaur,2
pushpinder,2
pushpita,2
pushpreet,2
punamjeet,2
somi,2
jodhpreet,2
buji,2
sonpreet,2
sonnu,2
brahmjot,2
brahmleen,2
soni,2
brahmvir,2
sonhan,2
sonam,2
brijodh,2
sonaljeet,2
brinder,2
puja,2
joginder,2
jogindar,2
jogendra,2
pushvinder,2
puspinder,2
sirivedya,2
sivananda,2
charanpreet,2
smaran,2
raamrattan,2
jessy,2
charnjeet,2
jesminder,2
charu,2
jeevanjot,2
chand,2
chetan,2
jeevandeep,2
jeevan,2
siva,2
chhanak,2
jeet,2
chhavi,2
jhagan,2
charanjot,2
jhagar,2
charanjit,2
chandan,2
snehdip,2
snehdeep,2
chandeep,2
jian,2
qishen,2
quarbani,2
smran,2
chandra,2
jhilmal,2
chann,2
channan,2
chanpreet,2
jhamak,2
charanjeet,2
kari,2
prabhnirmal,2
sukhsimran,2
parbeen,2
komal,2
paramsimran,2
kohinoor,2
paramsukh,2
tanmeet,2
tanjot,2
paras,2
parbhdeep,2
kirtana,2
taminder,2
tamannah,2
parbjot,2
kirtpal,2
kirti,2
pardeep,2
atinderpal,2
tanpreet,2
komaldeep,2
tanuja,2
komaljeet,2
kripa,2
taqdeer,2
parampreet,2
asneh,2
kour,2
tanweer,2
asrit,2
tanvir,2
komalroop,2
tanveet,2
komalpreet,2
tanveer,2
tanveen,2
komalpal,2
komaljot,2
pargat,2
talveer,2
asis,2
kiranjot,2
kiransukh,2
avi,2
kiranroop,2
avijeet,2
avijot,2
kiranpreet,2
kiranpal,2
kiranjit,2
talveen,2
avineet,2
kiranjeet,2
kirandeep,2
avinoor,2
taan,2
kiranbir,2
parm,2
parkash,2
taj,2
kirat,2
parjinder,2
attamjeet,2
pari,2
kirpal,2
kirpa,2
aumkara,2
aupinder,2
takdeer,2
tajpreet,2
tajnit,2
tajmeet,2
avaninder,2
kiren,2
tajinder,2
avdeep,2
parjeet,2
paramliv,2
paramleen,2
karman,2
tavleen,2
kuljot,2
kuljit,2
teerath,2
kuljinder,2
kuljeet,2
kuldip,2
tavnish,2
kuldeep,2
arwinder,2
arveen,2
kulbir,2
kulbinder,2
paneet,2
kulbeer,2
arvinder,2
arvinderjit,2
palwinder,2
arundeep,2
palvit,2
palvir,2
kulvinder,2
pallavi,2
kulveer,2
kulvanth,2
kulvant,2
palminder,2
kulroop,2
kulreet,2
arshpreet,2
kulraj,2
kulpreet,2
tej,2
kulnoor,2
palvinder,2
kulminder,2
kudrat,2
arya,2
taran,2
ashreet,2
ashmit,2
ashneer,2
ashneet,2
tarman,2
ashnit,2
ashpinder,2
ashpreet,2
paramgeet,2
tatbir,2
paramgiaan,2
paramgun,2
paramjeet,2
paramjit,2
ashwani,2
krishan,2
ashwinder,2
krisna,2
ashmeet,2
kritanya,2
paramdeep,2
panna,2
panth,2
kshama,2
asankh,2
asaroop,2
parabhjot,2
ashdeep,2
tarun,2
kritman,2
param,2
ashish,2
tarnvir,2
parambir,2
tarnjit,2
ashman,2
kiran,2
parmbir,2
parmdeep,2
kavalnain,2
kavita,2
suneet,2
balveer,2
pirnoor,2
balvinder,2
pirtpal,2
balvir,2
kavaljit,2
summat,2
kavaljeet,2
balwinder,2
sunanda,2
kaur,2
bandagi,2
bandeep,2
bani,2
balraj,2
balpreet,2
balnoor,2
kavneer,2
baljinder,2
supinder,2
baljindr,2
kawalpreet,2
kawaljit,2
kawaljeet,2
kawaldeep,2
sunpreet,2
baljot,2
sunny,2
kawal,2
sunmeet,2
sunjot,2
kavya,2
kavneet,2
baninder,2
kashmira,2
syama,2
karnapriya,2
sulachhna,2
sukwinder,2
prabhgiaan,2
karndeep,2
sukjinder,2
sukirat,2
sukhy,2
sukhwant,2
banjot,2
sukhvir,2
sukhvinder,2
karmjit,2
bavneet,2
sukhveer,2
karmjeet,2
beant,2
basant,2
barsha,2
kartar,2
suman,2
sumitpal,2
banpreet,2
poorna,2
kashama,2
kasham,2
karunya,2
sumeet,2
prabha,2
sumanpreet,2
karthika,2
sumanjot,2
barinder,2
sumanjeet,2
sumandeep,2
prabhatkiran,2
perveen,2
baljeet,2
bali,2
swaran,2
swarn,2
parneet,2
khushvant,2
parnit,2
parphullat,2
khushpreet,2
swaranjeet,2
partapi,2
supriya,2
parteek,2
parteet,2
partit,2
parul,2
parveen,2
parveer,2
azaadbir,2
avtaar,2
parmvir,2
parmveer,2
parmpreet,2
parmeet,2
parmender,2
swet,2
avleen,2
avneek,2
avneer,2
avneet,2
parmindar,2
parminder,2
avninder,2
parmit,2
parmjeet,2
avnoor,2
parmjit,2
swarnjit,2
parwah,2
parwan,2
babaldeep,2
bakhsheesh,2
baksheesh,2
bakshish,2
pawanpreet,2
bala,2
keeratdeep,2
surat,2
keerat,2
balbeer,2
payal,2
balbir,2
baldeep,2
baldev,2
suraj,2
surabhi,2
sur,2
pawandeep,2
surindar,2
babaljeet,2
surinder,2
sushil,2
babbu,2
khalsa,2
pavan,2
pavandeep,2
surveen,2
pavenpreet,2
ketan,2
surmeet,2
surjot,2
surjit,2
bahadurjit,2
surjeet,2
keshav,2
kesar,2
jasveen,2
sian,2
arshbir,2
harsimrndeep,2
saran,2
roopindar,2
roopinder,2
roopjeet,2
roopkanwal,2
sarabsukh,2
rosan,2
sarableen,2
gobindrai,2
sarabjot,2
sarabjit,2
sarabjeet,2
harsimransukh,2
harsimranjot,2
harsimranjodh,2
harsimran,2
gianleen,2
harveen,2
gianjeet,2
harveer,2
harwinder,2
sarbjot,2
sarbjit,2
sarbjeet,2
harvinder,2
gharcheen,2
gharchet,2
giaan,2
giaanleen,2
sarath,2
giaanroop,2
giaanveer,2
gian,2
roop,2
saranpreet,2
roshan,2
harsimar,2
geet,2
guneet,2
harsdeep,2
gulzar,2
gun,2
sanju,2
sanjot,2
rudrah,2
sanjit,2
harsahib,2
golu,2
sanjeevan,2
harroop,2
sanjeet,2
gunjan,2
gunjas,2
gunjot,2
harpreet,2
harseetal,2
gulshan,2
sanmeet,2
sanpreet,2
sar,2
harsifat,2
sapinder,2
gopi,2
sanyasi,2
harshpreet,2
sanveer,2
santosh,2
rubal,2
harshdip,2
harshdeep,2
gulbagh,2
harshardha,2
harsharan,2
rubinder,2
sardeep,2
ronak,2
harpooj,2
satkar,2
falak,2
satnaam,2
rinku,2
satmeet,2
satleen,2
rintu,2
satkiran,2
satkaar,2
rishit,2
satjot,2
satjit,2
fatehjit,2
satinder,2
rishav,2
hirdai,2
sathya,2
satpal,2
fal,2
satpreet,2
satraj,2
ersheen,2
satyajit,2
esha,2
hukam,2
satya,2
ridey,2
satwant,2
satvir,2
eshnaa,2
satveer,2
satsukh,2
etebar,2
etibar,2
ettaleen,2
rijak,2
fatehvir,2
satgur,2
hasandeep,2
heavenjot,2
sartaj,2
hema,2
sarprit,2
saroop,2
heera,2
garinder,2
heer,2
gatleen,2
satendra,2
rohanpreet,2
gatsharan,2
hasrat,2
sargun,2
gavy,2
romi,2
hasanpreet,2
ganeve,2
sarvdeep,2
herleen,2
sarvjeet,2
satbir,2
satbeer,2
hezalpreet,2
satamrit,2
gagan,2
gagandeep,2
gagandip,2
gaganjeet,2
ritpaul,2
gaganjit,2
gaganjot,2
gaganpreet,2
gagneet,2
hermeet,2
sarvjit,2
gunkeerat,2
harpinder,2
rajha,2
gurtej,2
harinarayn,2
sachi,2
harikirtan,2
sajan,2
sachkirat,2
gurtaj,2
saiyan,2
sachleen,2
gurvir,2
sachman,2
sachpreet,2
sachreet,2
hariamrit,2
hari,2
sachsukh,2
hargurpinder,2
sachdev,2
harinder,2
sajjra,2
sakarath,2
saanjh,2
gurnit,2
gurnur,2
gurpal,2
harjinder,2
harjeevan,2
harjass,2
harjas,2
harjap,2
harjaap,2
sabhya,2
sakti,2
sakshi,2
sakinder,2
sabooree,2
hargunpreet,2
sadanaam,2
samandeep,2
happy,2
hanit,2
hardeep,2
sahibjot,2
sahejpreet,2
sahejdeep,2
sahej,2
harbir,2
har,2
hargobind,2
harbinder,2
harbin,2
sahaj,2
haranoop,2
harbhajan,2
sahajpreet,2
harbeer,2
hardeepak,2
sahij,2
haneet,2
sahil,2
saihajseetal,2
saihajsaroop,2
sadeepak,2
gyan,2
sadhnah,2
sadhu,2
sadipak,2
hardit,2
saihajamrit,2
hardip,2
sai,2
sahreet,2
sahiz,2
sagaljot,2
hardev,2
saman,2
saajana,2
harpeet,2
samundar,2
sanampreet,2
sanamdeep,2
gurbani,2
gurbeer,2
gurbir,2
rupak,2
gurcharan,2
harminder,2
gureet,2
rupam,2
rupanjit,2
gurdeep,2
gurdev,2
samrit,2
gurdita,2
gurditta,2
sanantan,2
harnarayn,2
ruman,2
harneel,2
gunny,2
harpal,2
gunpreet,2
gunreet,2
harnoor,2
guntaj,2
guntas,2
sangam,2
harninder,2
gunveer,2
sandip,2
sandhu,2
harnek,2
sandeep,2
guraman,2
samreet,2
rupinder,2
samar,2
harkeet,2
harleen,2
sambhu,2
gurleen,2
harkomal,2
rusmit,2
gurmail,2
harkiran,2
samarpreet,2
guri,2
gurmit,2
samarjit,2
samarjeet,2
gurnaj,2
samardeep,2
gurnam,2
harkamal,2
gurkiran,2
harlin,2
gurkeerat,2
saminder,2
samrath,2
samrat,2
samran,2
harmanjot,2
harmanjit,2
sampreet,2
gurjas,2
gurjazz,2
gurjeet,2
gurjeevan,2
samneet,2
gurjit,2
samiran,2
gurjot,2
harman,2
ridam,2
husanpreet,2
ibadat,2
japnoor,2
japuji,2
shivin,2
devleen,2
shivi,2
devpreet,2
jappreet,2
devreet,2
japneet,2
ramneet,2
shivanit,2
devta,2
japnail,2
japman,2
ramneek,2
japjot,2
japjit,2
raminder,2
devinder,2
devindar,2
jas,2
jashandeep,2
jashan,2
jasgurkirtat,2
jasgun,2
jasey,2
shmrit,2
devatma,2
rameet,2
jasbir,2
jasbinder,2
jasbindar,2
jasbeer,2
shivu,2
jasanpreet,2
jasandeep,2
japji,2
japinder,2
ramanpreet,2
ranjinder,2
rangseetal,2
shehreet,2
jalpreet,2
dharamjeet,2
jalinder,2
shehmat,2
ranjeet,2
ranjit,2
japgun,2
jajbir,2
ranjodh,2
ranmeet,2
jaipreet,2
shawn,2
shavinder,2
ranveer,2
sher,2
dhanveer,2
dhanush,2
jangpartap,2
ramnik,2
shivaa,2
shiva,2
shiv,2
shital,2
jap,2
dhanesha,2
shimrit,2
dhanjot,2
dhann,2
janmeet,2
dhanpreet,2
ranbir,2
randeep,2
janinder,2
jashanpreet,2
deval,2
rhythm,2
jasnoor,2
shukar,2
jaspinder,2
dayapreet,2
jaspaul,2
rajni,2
jaspal,2
rajnit,2
jasnit,2
shubham,2
rajpinder,2
shubhpreet,2
jasnam,2
jasnaaz,2
jasnaad,2
rajpreet,2
jasmit,2
jaspreet,2
rajneet,2
jasprit,2
rajmeet,2
darshpreet,2
rajindar,2
rajinder,2
shyam,2
jasspreet,2
dashleen,2
dashmeet,2
rajkamal,2
rajkanwal,2
davinder,2
rajkiran,2
jassi,2
jasroop,2
rajmandar,2
daya,2
jasmine,2
raju,2
ramanjot,2
raman,2
jaskaran,2
jasjot,2
rakshita,2
jasjinder,2
shree,2
jasjeet,2
jasinder,2
ramandeep,2
deep,2
depinder,2
shraddha,2
ramandip,2
shorya,2
dev,2
deva,2
ramanjeet,2
deepu,2
rakhwinder,2
jaskeerat,2
jaskiran,2
jasmin,2
shubh,2
jasmeet,2
jasmeen,2
rajvinder,2
jasmandeep,2
jasman,2
rajvir,2
deepinder,2
rajwant,2
rajwinder,2
deepjot,2
jaskirtan,2
shri,2
jaskirat,2
dharmjot,2
jaimal,2
shavan,2
indirvir,2
sehshi,2
ira,2
reet,2
sehnoor,2
reetinder,2
indu,2
sehajpreet,2
rehmat,2
inderdeep,2
sehaj,2
indirpreet,2
indirjeet,2
inderpreet,2
seetal,2
inderpal,2
inderjit,2
sejal,2
seva,2
rayna,2
divya,2
shagandeep,2
ravjot,2
ravleen,2
ishpreet,2
ishpal,2
ishneet,2
ravneet,2
ishmeet,2
ishman,2
ishleen,2
shabadpreet,2
ishjeet,2
ishitaa,2
rawinder,2
shaan,2
inderjeet,2
resam,2
ranvir,2
ekjit,2
ekampreet,2
ikmeet,2
ikman,2
savinder,2
ekamroop,2
ekanjot,2
ekdeep,2
ekjot,2
resham,2
ekkam,2
rhiday,2
savan,2
ikam,2
ekmanjot,2
rhudai,2
ekroop,2
ekampooj,2
ekamnoor,2
ekamkar,2
ekamjot,2
inayat,2
sawinder,2
sawera,2
imrat,2
imaan,2
savroop,2
iksirat,2
ikpooj,2
savna,2
ekagar,2
ekam,2
ikongkar,2
ekamdeep,2
