Names,frequency
aadroop,1
aaradh,1
birjot,1
birjeet,1
birindar,1
birbhoop,1
birapaar,1
birakaal,1
biradol,1
biplab,1
bipinjot,1
binpaul,1
binder,1
bindar,1
bimalpal,1
bimaljot,1
bilawal,1
bijul,1
bibinanaki,1
bhupinderpal,1
bhupinder,1
bhinderpal,1
bhavprem,1
bhavneet,1
bhavmeet,1
bhavleen,1
bhavjinder,1
bhavjeet,1
bhavdeep,1
birpal,1
birprem,1
birwant,1
brijodh,1
chamanpreet,1
chamanjeet,1
chakarpreet,1
chakardhar,1
chainpreet,1
carman,1
buji,1
budhroop,1
budhpreet,1
budhjot,1
budhjeet,1
brinder,1
brahmvir,1
bisanpreet,1
brahmtek,1
brahmpal,1
brahmleen,1
brahmjot,1
brahmjog,1
brahamleen,1
brahamjeet,1
biswajit,1
bismeet,1
bismaadh,1
bishmeet,1
bishanpal,1
bhavanjot,1
bhavandeep,1
bharpoor,1
baldev,1
balraj,1
balpreet,1
balmohan,1
balmeet,1
balkar,1
baljiwan,1
baljit,1
baljinder,1
baljeet,1
balinder,1
balihar,1
balhaar,1
baldeep,1
balvinder,1
baldeb,1
balbir,1
balbhag,1
balbeer,1
bakshi,1
baksheesh,1
bakhsheesh,1
bairagi,1
bahadurjit,1
bahadar,1
baghinder,1
bachittar,1
baltej,1
balvindra,1
bhajraam,1
beant,1
bhajneet,1
bhajneek,1
bhajnaam,1
bhajan,1
bhagwan,1
bhaghwinder,1
bhagatveer,1
bhagat,1
benny,1
beena,1
bebe,1
beantpal,1
barminder,1
balvir,1
barindra,1
barinder,1
banspal,1
bansmeet,1
banpaul,1
banmeet,1
banjot,1
banjeet,1
baninder,1
baneet,1
balwinder,1
balwant,1
chamanroop,1
chamkaur,1
chanann,1
dayajot,1
devendra,1
devendar,1
devatma,1
deepleen,1
deepjot,1
deepinder,1
deentek,1
deenpal,1
deedar,1
dayawant,1
dayapreet,1
dayaljot,1
dayajeet,1
devjeet,1
dayadeep,1
davinderpreet,1
davinder,1
darvish,1
darvesh,1
darshpreet,1
darshanbir,1
darpreet,1
darminder,1
darbjot,1
danmeet,1
damoder,1
devinder,1
devjot,1
damanjeet,1
dharmtat,1
diljeev,1
diljeet,1
dilchanann,1
dilbagh,1
dilbaagh,1
dilbaag,1
digpal,1
didar,1
dhianni,1
dhianjot,1
dhianjog,1
dharvan,1
dharmpal,1
devpreet,1
dharmjot,1
dharmender,1
dharamsheel,1
dharampreet,1
dharamleen,1
dharamjyot,1
dharamdev,1
dharamdeep,1
dharam,1
dhanmeet,1
dhanjot,1
dhanjeet,1
damanjit,1
dalvinder,1
chananpreet,1
chanpreet,1
chattarmeet,1
chattarbir,1
chatar,1
charnjit,1
charminder,1
charanprem,1
charanpreet,1
charanpal,1
charankawal,1
charankanwal,1
charanjyot,1
charanjeet,1
channan,1
chattarwant,1
chanderpreet,1
chanderjot,1
chanderjit,1
chander,1
chandeep,1
chandanpal,1
