Names,frequency
sonu,2
jai,2
shashi,2
benazir,2
abdul wahid,1
nitin,1
naresh,1
navin,1
neelam,1
neeraj,1
nikhil,1
niranjan,1
nirmal,1
nirmala,1
nisha,1
om prakash,1
nalini,1
padmini,1
pankaj,1
paresh,1
pawan,1
payal,1
poonam,1
pradeep,1
prahlad,1
prakash,1
pratibha,1
preeti,1
priya,1
nanda,1
muskan,1
raj kumar,1
lalita,1
kamini,1
kanchan,1
kanhaiya,1
karuna,1
kavita,1
kiara,1
komal,1
laksha,1
lakshita,1
lal krishna,1
lalit,1
lalitamohana,1
mumtaz,1
madhu,1
mahesh,1
mala,1
manav,1
manohar,1
manoj,1
megha,1
mili,1
mohan,1
mukesh,1
mukti,1
rafiq,1
raju,1
rajesh,1
vasudev,1
tanima,1
udaya,1
udbala,1
udita,1
ujjwala,1
ulupi,1
umar,1
usman,1
vaagai,1
vaasanti,1
vaishnavi,1
veena,1
tamalika,1
vijay,1
vimla,1
vishal,1
vivek,1
yaalisai,1
yahvi,1
yajna,1
yamini,1
yanti,1
yashna,1
yogesh,1
tamarai,1
talikha,1
jyoti,1
rohan,1
rakhi,1
ram,1
ramesh,1
rani,1
ranjan,1
rashmi,1
ratan,1
ravi,1
rekha,1
renu,1
rita,1
roop,1
tahil,1
sanjay,1
shamshad,1
shankar,1
sheela,1
shiv,1
somdutt,1
subhasini,1
sudha,1
sunny,1
suraj,1
suresh,1
kalyan,1
jasbeer,1
jaya,1
abhishek,1
chandan,1
chandru,1
charu,1
chitra,1
deeba,1
deep,1
deep chand,1
deepak,1
deepika,1
devendra,1
devidas,1
devyani,1
dilip,1
dinesh,1
divya,1
durga,1
eesha,1
eiravati,1
ekaparana,1
elilmangai,1
eshani,1
fakhruddin,1
falguni,1
fanibhusan,1
fanishwar,1
champak,1
chameli,1
chakrapani,1
bakul,1
abida,1
aditya,1
amar,1
amir,1
anil,1
anila,1
anjana,1
anoop,1
arvind,1
ashish,1
ashok,1
bala,1
chaitan,1
barnali,1
baruni,1
belli,1
bharat,1
bharti,1
cauvery,1
chaarudatt,1
chaaya,1
chahel,1
chairavali,1
chaitali,1
fateh,1
fenil,1
feroz,1
iqbal,1
ibhanan,1
ichha,1
idhika,1
ihita,1
iksura,1
ilandevan,1
ilavalagi,1
ilavarasan,1
ilavenil,1
indira,1
indranil,1
ishwar,1
hema,1
jagajeevan,1
jagatbehari,1
jagathi,1
jagati,1
jagdish,1
jagruti,1
jaidev,1
jaikapeesh,1
jailekha,1
jalbhushan,1
janki,1
hussain,1
heer,1
foram,1
geeta,1
freya,1
fullan,1
fulmala,1
gagana,1
gaganadipika,1
gandharika,1
gandhini,1
gangi,1
garima,1
gathika,1
gauri,1
girdhari,1
harish,1
girish,1
gulabrai,1
gulshan,1
gulu,1
gyanchand,1
haadiyaa,1
hameed,1
hamesha,1
haniya,1
haresh,1
hariganga,1
"zarna, ziana",1
