Names,frequency
,6
neelam,5
kirti,4
surya,4
madhu,4
kamal,4
harsha,4
mukta,3
harshal,3
harshini,3
amal,3
hemadri,3
bhavya,3
virat,3
ambar,3
mukunda,3
bhanu,3
bhamini,3
bhakti,3
snehal,3
nanda,3
rashmi,3
amulya,3
nehal,3
hari,3
suhas,3
ajay,3
nishesh,3
sukumar,3
geet,3
suman,3
chaitanya,3
chaman,3
chandan,3
panna,3
durga,3
sushila,3
bhadra,3
rujul,3
rudrapriya,3
shailendra,3
sarasi,3
aradhana,3
shambhavi,3
shakti,3
lalit,3
shailesh,3
lakshmikant,3
santosh,3
krishna,3
satya,3
kshama,3
arya,3
kundan,3
kunda,3
madhav,3
shashi,3
dhatri,3
shivani,3
anandi,3
jayani,3
mehul,3
bakula,3
shree,3
markandeya,3
kanan,3
mahadev,3
mani,3
antara,3
karnapriya,3
maitreya,3
karuna,3
vanhi,3
suvrata,3
kumud,3
tarun,3
tejal,3
phaninath,3
yogini,3
phanindra,3
phalgun,3
pavitra,3
daya,3
swarup,2
shoni,2
kala,2
kaladhar,2
kalavati,2
shobha,2
tara,2
shravani,2
kali,2
kailash,2
tapti,2
kalika,2
dayanand,2
shreedhar,2
shreekant,2
jyotsna,2
jyotirdhar,2
jyotiprakash,2
jyoti,2
jwala,2
juhi,2
shresth,2
shresthi,2
shreya,2
jograj,2
kalicharan,2
shivkumar,2
kalindi,2
kamini,2
shirish,2
kanchana,2
daruka,2
kanchan,2
shishir,2
dasharath,2
kanaklata,2
shishirkana,2
kanaka,2
kanak,2
shiv,2
shivakanta,2
kamalnayan,2
tapni,2
tarak,2
kamalini,2
kamalika,2
shivapriya,2
kamalaksh,2
kamalakar,2
kamala,2
kamadev,2
kalyani,2
kalyan,2
kalpana,2
kallol,2
jogindra,2
jnyandeep,2
shreyas,2
jnyaneshwar,2
jalsa,2
shukla,2
jaldhar,2
dayaswarup,2
jaladhija,2
jaitashri,2
shvetang,2
dayita,2
shvetank,2
shweta,2
jaidev,2
tapas,2
shwetambar,2
shyama,2
jahnavi,2
shyamal,2
shyamala,2
jagannath,2
siddharth,2
tapan,2
siddhi,2
deenbabdhu,2
jagajeevan,2
tanvi,2
jagajeet,2
jagadamba,2
deepa,2
janak,2
janaki,2
janakibhushan,2
jaya,2
kanhaiya,2
jishnu,2
jinendra,2
jeevan,2
jayashri,2
jayashekhar,2
jayaprada,2
jayant,2
tapi,2
jayaditya,2
jayadeep,2
jayachand,2
jay,2
janakiraman,2
jawahar,2
shriyadita,2
jaswant,2
jasveer,2
jasraj,2
shruti,2
japesh,2
shubha,2
shubhada,2
janesh,2
shubhra,2
shuchi,2
kanha,2
shila,2
shipra,2
shalin,2
taru,2
shakambari,2
komal,2
kishori,2
chittaprasad,2
kishore,2
shaktidhar,2
shakunt,2
shakuntala,2
shalaka,2
chittaranjan,2
shalika,2
shalini,2
keva,2
shalmali,2
kiran,2
chittaswarup,2
shambhukanta,2
chudamani,2
shamita,2
shankar,2
shankari,2
shankhapani,2
khagesh,2
khagendra,2
shankhi,2
tarulata,2
chitrani,2
shaildhar,2
shailaja,2
kuldeep,2
saurabh,2
chitra,2
chitragandha,2
chitraksh,2
saurav,2
kshitij,2
savarna,2
savita,2
savitashri,2
savitendra,2
savitri,2
kshanika,2
taruni,2
seema,2
krupa,2
krittika,2
kriti,2
senajit,2
setu,2
chitralekha,2
seva,2
shachi,2
shagun,2
shaila,2
shansa,2
tarini,2
shilpa,2
shatrunjay,2
shashishekhar,2
shashwat,2
kashinath,2
kashi,2
karunanidhi,2
shatakshi,2
karunakar,2
tarangini,2
shatrughna,2
karuka,2
tarang,2
kartik,2
darika,2
shanta,2
sheela,2
shekhar,2
kapirath,2
taran,2
kapindra,2
kapila,2
kapil,2
sheshdhar,2
shikha,2
shikhar,2
sindhu,2
kanti,2
kasturi,2
shashikant,2
shashidhar,2
shashibhushan,2
ketaki,2
keshini,2
keshav,2
taresh,2
dakshesh,2
kesar,2
sharad,2
kedarnath,2
kavita,2
shardul,2
shari,2
sharika,2
kavin,2
damini,2
kavi,2
sharmila,2
sharmistha,2
sharvani,2
sharvari,2
shashank,2
shashee,2
damodar,2
tarani,2
kaushik,2
shashibala,2
"simrit, smrita",2
ishan,2
ishani,2
sunanda,2
gaura,2
garima,2
gargi,2
garati,2
sumant,2
gangadutt,2
gangadhar,2
ganga,2
sumit,2
sumita,2
sumitra,2
ganaraj,2
gajendranath,2
gaurav,2
gajendra,2
gajanan,2
sunay,2
sunayana,2
gagan,2
sundar,2
sundari,2
sunetra,2
sunil,2
sunita,2
suparn,2
suparna,2
gaurang,2
gauri,2
suprasanna,2
girilal,2
gopi,2
gopan,2
gopal,2
sukeshi,2
godavari,2
sukhdev,2
devashish,2
gitika,2
gitashri,2
gitanjali,2
girish,2
giriraj,2
devdas,2
gaurika,2
girija,2
giridhar,2
devendra,2
sulabha,2
sulakshana,2
sulalit,2
devesh,2
gayatri,2
suloch,2
gautami,2
gaurishankar,2
gaurinath,2
suprabha,2
eknath,2
sujit,2
dheeraj,2
dinesh,2
dinanath,2
dilip,2
sutapa,2
sutara,2
suvarna,2
suvarnarekha,2
swati,2
dhruv,2
dhriti,2
dhirendra,2
dhiren,2
dhaval,2
sushanti,2
dhananjay,2
dharuna,2
dharmesh,2
dharmendra,2
dharmadev,2
dharma,2
swapna,2
swapnali,2
dhara,2
dhanyata,2
dhanya,2
swapnil,2
sushil,2
sushant,2
supriya,2
devi,2
ekani,2
ekanga,2
suraj,2
surekha,2
surendra,2
dyumna,2
suresh,2
dwijesh,2
dwijendra,2
sureshi,2
sureshwari,2
suruchi,2
durvish,2
divya,2
durjaya,2
deviprasad,2
suryabhan,2
devkinandan,2
durgesh,2
durgadutt,2
sweta,2
duranjaya,2
suryakant,2
dristi,2
divyesh,2
divyendu,2
gopika,2
gourangi,2
ishana,2
himagouri,2
tanulata,2
somansh,2
somnath,2
hrishikesh,2
sonali,2
hridayesh,2
hita,2
kulvir,2
hiranya,2
hiranmayi,2
hiral,2
himani,2
hima,2
ilesh,2
deepavati,2
hetal,2
heramba,2
srichaitra,2
hemendu,2
deependra,2
hemavatinandan,2
hemavati,2
hemaraj,2
sriram,2
hemant,2
hemangini,2
ila,2
ina,2
deependu,2
indukala,2
dhanesh,2
ira,2
smita,2
inesh,2
indushekhar,2
smriti,2
indumukhi,2
indumauli,2
induma,2
sneha,2
indukanta,2
deepak,2
induja,2
inas,2
indubhushan,2
indu,2
deepakala,2
indrani,2
indraneel,2
indrakshi,2
tanushri,2
indrajit,2
deepankar,2
indra,2
sohan,2
indira,2
hemalata,2
deepesh,2
govind,2
gursharan,2
hansini,2
sudeep,2
hansa,2
sudeepta,2
sudeva,2
sudha,2
gyanada,2
sudhanshu,2
sudhindra,2
gurudas,2
sudhish,2
guru,2
sudiksha,2
sudama,2
sudipti,2
sugandha,2
gurdayal,2
gurcharan,2
gurbachan,2
sugriva,2
gunaratna,2
devang,2
suhasini,2
gulab,2
gul,2
sujata,2
hanuman,2
haresh,2
hemachandra,2
harmendra,2
hema,2
hem,2
subhadra,2
harshul,2
harshita,2
subhaga,2
deepika,2
tanuja,2
deeptendu,2
harshad,2
deepti,2
subhash,2
harita,2
devaki,2
harishankar,2
tanmay,2
harish,2
haripriya,2
sucheta,2
harilal,2
tanaya,2
harihar,2
suchir,2
suchita,2
devakali,2
suchitra,2
hiresh,2
satyajit,2
saumya,2
rajesh,2
nityanand,2
nitya,2
rajiv,2
rajkumar,2
niti,2
niteesh,2
rajul,2
nishtha,2
nishok,2
nishith,2
rakesh,2
nishinath,2
raktakamal,2
ram,2
nishant,2
nishad,2
nisha,2
raman,2
nirupam,2
nirupa,2
ramanuja,2
nirmala,2
nirmal,2
ramdas,2
nirdhar,2
nirbhay,2
nirav,2
ramesh,2
niranjana,2
rajeshwari,2
nivedita,2
saudamini,2
rajendra,2
radha,2
padmaj,2
radhakrishna,2
padmabandhu,2
padma,2
radheya,2
radhika,2
raghav,2
oorjit,2
oojam,2
oni,2
omprakash,2
omkarnath,2
omkar,2
rahul,2
raima,2
raj,2
oma,2
rajan,2
rajani,2
rajanigandha,2
ojas,2
rajanikant,2
rajashri,2
rajasi,2
rajat,2
nutan,2
nripendra,2
niyati,2
niranjan,2
niramitra,2
niramay,2
rameshwari,2
neelambar,2
neelakshi,2
neelaja,2
neelabh,2
neela,2
neel,2
neeharika,2
rati,2
nayantara,2
nayana,2
nayan,2
ratnakar,2
navrang,2
navneeta,2
navendu,2
ratnavali,2
ratnesh,2
ravi,2
ravikiran,2
ravinandan,2
natraj,2
nateshwar,2
ravindranath,2
nartan,2
narsimha,2
narottam,2
narmada,2
narmad,2
narhari,2
rasna,2
neelkamal,2
neelkanth,2
nikhilesh,2
niral,2
nirajit,2
nirad,2
ramita,2
nimish,2
ramra,2
nilima,2
nilaya,2
nilay,2
rangana,2
nikunj,2
ranganath,2
nikhita,2
nikhil,2
neeraj,2
niketan,2
rani,2
ranjan,2
niharika,2
ranjana,2
nihal,2
nidhish,2
nidhi,2
nibodh,2
netravati,2
netra,2
neha,2
neeraja,2
rachna,2
padmakali,2
padmakant,2
phalak,2
pradnesh,2
pradeep,2
prachi,2
pratima,2
prabodhan,2
prabodh,2
prabir,2
pratosh,2
prabhav,2
pratyush,2
prabhat,2
prabhas,2
prabhakar,2
prabha,2
pravar,2
praveen,2
poorvi,2
poorna,2
poonam,2
pooja,2
piyush,2
piyali,2
pitambar,2
preetish,2
prem,2
premal,2
premanand,2
piki,2
premila,2
pratibha,2
prateet,2
prafula,2
prarthana,2
pranesh,2
pranay,2
pranav,2
pranjal,2
pranad,2
pran,2
prannath,2
pramod,2
pramit,2
pramila,2
pramesh,2
pramath,2
pramada,2
prasad,2
prafulla,2
prasata,2
prakash,2
prashansa,2
prashant,2
prajit,2
prajin,2
prajesh,2
prahlad,2
prasoon,2
pragya,2
pratap,2
pragnya,2
pragati,2
phoolendu,2
prina,2
padmakar,2
payoja,2
paras,2
purandar,2
paramjeet,2
paramita,2
paramartha,2
purnendu,2
purnima,2
purujit,2
purumitra,2
purushottam,2
purva,2
pannalal,2
pankajeet,2
pankaja,2
pankaj,2
panduranga,2
pushpak,2
panchali,2
pushpakar,2
pushpanjali,2
pallavi,2
pallav,2
palash,2
palak,2
pahal,2
padmini,2
padmavasa,2
padmarekha,2
padmal,2
punya,2
punthali,2
paravi,2
parvateshwar,2
payal,2
pavankumar,2
pritam,2
pavan,2
pritha,2
prithu,2
priti,2
priya,2
pashupati,2
pashunath,2
pasha,2
parvatinandan,2
parvati,2
parul,2
puneet,2
priyanka,2
parthasarathi,2
partha,2
parnal,2
puja,2
pukhraj,2
pulak,2
paritosh,2
parinita,2
parindra,2
pariket,2
pari,2
paresh,2
naresh,2
narendra,2
narayana,2
santoshi,2
malati,2
samskara,2
samudra,2
mala,2
makarand,2
sanat,2
sanchali,2
mahipal,2
sandeep,2
mahima,2
mahi,2
maheshwar,2
sandhya,2
mahesh,2
mahendra,2
maheepati,2
mahavir,2
sangita,2
sanjay,2
sanjeev,2
mahamati,2
sanjog,2
mahabahu,2
sankul,2
sannidhi,2
sanobar,2
madhurima,2
madhuri,2
madhura,2
malavika,2
samrat,2
malini,2
samarjit,2
manjusri,2
manjusha,2
manjula,2
salil,2
manjeet,2
manjari,2
manishankar,2
manisha,2
manish,2
maniram,2
manindra,2
samar,2
samarendra,2
manik,2
