Names,frequency
aaron,1
omaira,1
nikia,1
nikkia,1
nisa,1
nizam,1
numa,1
numair,1
nusair,1
nykia,1
oma,1
omair,1
omar,1
qitarah,1
omarr,1
omer,1
oraida,1
polla,1
qabic,1
qadim,1
qadir,1
qadira,1
qamar,1
qamra,1
nibal,1
nekia,1
nazih,1
nayila,1
najah,1
najam,1
najee,1
naji,1
najila,1
najla,1
najma,1
nakea,1
nakeia,1
nakeisha,1
nakeya,1
nakia,1
nakiah,1
nakiya,1
nash,1
nasir,1
nasrin,1
nassar,1
nasser,1
natara,1
natori,1
qasim,1
quadeisha,1
naima,1
reyhan,1
rashaud,1
rasheed,1
rashid,1
rashieka,1
rashod,1
rayya,1
reda,1
reem,1
reema,1
reemah,1
rida,1
quaneisha,1
rigel,1
rihana,1
rim,1
rima,1
riyad,1
rukan,1
saad,1
saarah,1
saba,1
sabi,1
rashad,1
rashaad,1
rasha,1
raniyah,1
quanika,1
qubilah,1
qudamah,1
querima,1
querina,1
rabah,1
rabi,1
rabia,1
radeyah,1
radwan,1
rafi,1
rafiq,1
rahim,1
rahman,1
rahul,1
raja,1
rajah,1
rakim,1
rakin,1
ramadan,1
randa,1
naja,1
nailah,1
sabra,1
marid,1
maisha,1
maja,1
majed,1
majid,1
majidah,1
makin,1
malika,1
manar,1
mansur,1
manzur,1
maritsa,1
maysun,1
maritza,1
mariya,1
mariyah,1
mariyan,1
marr,1
martiza,1
marwan,1
marya,1
maryah,1
masud,1
maimun,1
mahomet,1
mahoma,1
mahmud,1
lilah,1
lili,1
lilith,1
lillie,1
lilly,1
lily,1
lina,1
lisha,1
lucine,1
lukman,1
lulu,1
lydia,1
lyla,1
lynna,1
maha,1
mahala,1
mahammed,1
mahdi,1
maher,1
mahir,1
mahmoud,1
may,1
mazin,1
naila,1
nabil,1
muntassir,1
muriel,1
murtadi,1
mushin,1
mushira,1
muslimah,1
mustafa,1
mustapha,1
nabeel,1
nabiha,1
nada,1
medina,1
nadda,1
nader,1
nadidah,1
nadim,1
nadir,1
nadira,1
naeem,1
nafisa,1
nafisah,1
nahir,1
munira,1
munir,1
muna,1
mumtaz,1
mehmet,1
messiah,1
mina,1
mocha,1
mohamad,1
mohamed,1
mohamet,1
mohammad,1
mohammed,1
mohamud,1
mouhamed,1
mouna,1
mousa,1
mubarak,1
muhammad,1
muhammed,1
muhannad,1
muhdati,1
muhsin,1
mujahid,1
mukhtar,1
sabiya,1
saddam,1
liesha,1
waseem,1
uzair,1
uzza,1
vega,1
wadd,1
wafiq,1
wahid,1
wakil,1
walad,1
waleed,1
wali,1
wasim,1
yasin,1
wazir,1
witha,1
xaviera,1
yacenia,1
yahir,1
yahya,1
yamila,1
yamilet,1
yaminah,1
yardan,1
utba,1
usman,1
usamah,1
usama,1
tarbula,1
tarek,1
tarif,1
tarik,1
tariq,1
taymullah,1
tayyeb,1
taz,1
tekia,1
thabit,1
thana,1
timin,1
tut,1
ubadah,1
ubaid,1
ubayd,1
ubayda,1
ubayy,1
ulima,1
umar,1
umara,1
yashira,1
yasir,1
talitha,1
zubaidah,1
zaynah,1
zelmira,1
zero,1
zia,1
zimraan,1
zita,1
ziyad,1
zobeida,1
zoraida,1
zubaida,1
zuhayr,1
yazid,1
zuleica,1
zuleika,1
zuleima,1
zulema,1
zuleyca,1
zuleyma,1
zulima,1
zulma,1
zuly,1
zurafa,1
zayna,1
zayed,1
zavier,1
zarifa,1
yemena,1
yesenia,1
yessenia,1
yiesha,1
yusef,1
yusuf,1
zada,1
zafina,1
zafir,1
zafirah,1
zahid,1
zahir,1
zahra,1
zaid,1
zaida,1
zaidee,1
zaim,1
zaire,1
zaki,1
zakiya,1
zareb,1
tamir,1
talib,1
sadia,1
shafiq,1
samman,1
sana,1
sanaa,1
saree,1
sariyah,1
sayyid,1
seif,1
selma,1
shadi,1
shady,1
shahid,1
shakila,1
shahina,1
shahira,1
shakala,1
shakayla,1
shakeel,1
shakela,1
shakera,1
shakeria,1
shakerra,1
shakerria,1
samiya,1
samira,1
samir,1
samina,1
sadira,1
sadiya,1
safa,1
safia,1
safiya,1
sahar,1
sahara,1
saher,1
said,1
saida,1
saladin,1
salah,1
salam,1
salama,1
salem,1
salih,1
salim,1
salma,1
sameh,1
samia,1
samiah,1
shakiera,1
shakir,1
talal,1
syed,1
sofian,1
sohali,1
somer,1
sommer,1
subhi,1
sued,1
suede,1
suhail,1
sulaiman,1
suleika,1
syreeta,1
shakira,1
tabari,1
tabina,1
tabora,1
tahir,1
tahira,1
taira,1
takeya,1
takia,1
takiya,1
takiyah,1
skyy,1
sky,1
siraj,1
