Names,frequency
paajas,2
brahmavathi,2
digvi,2
lankesh,2
marthand,2
milan,2
kunal,2
motilal,2
jinadev,2
apekshaa,2
keshto,2
mahiraj,2
madin,2
lohitaksha,2
kirtinath,2
jayavel,2
janamejay,2
jyothirdhar,2
nishank,2
rajendra,2
priyansh,1
priyana,1
priyanga,1
priyangshu,1
priyanka,1
priyani,1
priyangu,1
priyangi,1
priyank,1
aabha,1
priyanshi,1
priyanshu,1
priyamkari,1
priyansi,1
priyanvad,1
priyanvada,1
priyaranjan,1
priyaranjeny,1
priyasaran,1
priyasha,1
priyasmita,1
priyatar,1
priyatha,1
priyavadhana,1
priyesh,1
priyamvada,1
priyakankshi,1
priyamada,1
prithvi,1
pritilata,1
pritikana,1
pritika,1
priti,1
prithwish,1
prithviraj,1
prithu,1
priyam,1
prithiv,1
prithisha,1
prithish,1
prithil,1
prithika,1
prithi,1
pritish,1
privrata,1
priya,1
priyabhakta,1
priyabrat,1
priyabrata,1
priyadarshan,1
priyadarshana,1
priyadarshani,1
priyadarshi,1
priyadarshini,1
priyadutta,1
priyajanani,1
priyaka,1
prnav,1
priyal,1
priyala,1
priyom,1
promila,1
prodeep,1
pulkita,1
punam,1
punai,1
pumima,1
puma,1
puloman,1
puloma,1
pulkit,1
pulak,1
pulish,1
pulin,1
pulastya,1
pulasthya,1
pulakitha,1
pulakit,1
punarnava,1
punarvika,1
punasvitha,1
punav,1
pundalik,1
pundari,1
pundarik,1
pundarikaksh,1
pundir,1
puneet,1
puneeta,1
puneeth,1
punish,1
punit,1
punita,1
punith,1
punitha,1
pulakesh,1
pulaha,1
projukta,1
protyasha,1
pruthvi,1
pruthuraaj,1
pruthivi,1
prutha,1
prushti,1
prudhvi,1
prottoy,1
pukhraj,1
prosmita,1
prosenjit,1
pritham,1
prom,1
prolaya,1
prokshan,1
pruthviraj,1
pruthvish,1
pubi,1
puchi,1
pudarjunan,1
pugal,1
pugalendhi,1
pughul,1
puja,1
pujan,1
pujasatya,1
pujeetha,1
puji,1
pujit,1
pujita,1
pujitha,1
pujya srita,1
prithee,1
prism,1
pritha,1
prayan,1
prayukta,1
prayosha,1
prayog,1
prayerna,1
prayas,1
prayank,1
prayag,1
pravina,1
prayaathi,1
pravya,1
pravit,1
pravish,1
pravis,1
pravir,1
prayush,1
prayushi,1
prayuta,1
preash,1
predesh,1
preeksha,1
preema,1
preenithi,1
preesha,1
preet,1
preetam,1
preetam priyam,1
preetesh,1
preetha,1
preetha lakshmi,1
preetham,1
preethesh,1
pravinah,1
pravin,1
preethika,1
pravah,1
pravar,1
pravan,1
pravallika,1
pravalitha,1
pravalika,1
praval,1
pravaal,1
pravilika,1
pravaah,1
praudha,1
pratyusha,1
pratyush,1
pratyaya,1
pratyaksha,1
pravara,1
pravarsha,1
pravas,1
pravashthi,1
pravashti,1
pravashwini,1
pravasthi,1
pravasti,1
pravasya,1
praveen,1
praveena,1
praveenya,1
praveer,1
praveg,1
praver,1
pravesh,1
pravi,1
preethi,1
preethish,1
pritesh,1
prianka,1
prinaka,1
prina,1
prijal,1
prija,1
pribhakta,1
priansh,1
preyasi,1
prestha,1
preyas,1
preyakshana,1
preya,1
prexa,1
preveinraj,1
pretvan,1
prince,1
princy,1
prineet,1
prinita,1
prinitha,1
prinsi,1
prisca,1
prish,1
prisha,1
prishanka,1
prishi,1
prishita,1
punyaa,1
prit,1
prita,1
prital,1
pritam,1
prethula,1
preshti,1
preethu,1
preity,1
premala,1
premal,1
premaja,1
prema,1
prem,1
prekshya,1
preety,1
presha,1
preetom,1
preetiwardhan,1
preetish,1
preetika,1
preetidutt,1
preeti,1
preman,1
premanand,1
premendra,1
premi,1
premila,1
premita,1
premla,1
premlal,1
premraj,1
prenam,1
prenitha,1
prerak,1
preran,1
prerana,1
prerit,1
prerita,1
prerna,1
punthali,1
punyapriya,1
punyacharitraya keertana,1
raghbir,1
raghupati,1
raghunath,1
raghunandan,1
raghukumara,1
raghu chandan,1
raghu,1
raghavi,1
raghuram,1
raghavendra,1
raghavender,1
raghavan,1
raghava,1
raghav,1
ragesh,1
raghupungava,1
raghuvar,1
rahan,1
ragunanthan,1
rahaam,1
ragvinder,1
ragved,1
raguraman,1
ragupathi,1
ragunathan,1
ragish,1
raghuveer,1
ragini,1
ragin,1
ragii,1
ragi,1
raghvendra,1
raghuvir,1
rageesh,1
ragavinodini,1
ragavi,1
radha krishna,1
radhatanaya,1
radharani,1
radhani,1
radhamani,1
radhakanta,1
radhak,1
radha,1
ragavendra,1
rachna,1
rachiyata,1
rachita,1
rachit,1
rachika,1
rachi,1
radhav,1
radhavallabh,1
radhe shyam,1
radhesh,1
radheshyam,1
radhey,1
radheya,1
radhika,1
radhya,1
radite,1
radnya,1
raga,1
ragab,1
ragajanani,1
ragav,1
ragavardhini,1
ragavathi,1
rahal,1
rahas,1
punyah,1
rajas,1
rajashekhar,1
rajashekar,1
rajasekhar,1
rajasekaran,1
rajasekar,1
rajasav,1
rajarshi,1
rajashri,1
rajaramesh,1
rajaraman,1
rajaram,1
rajanya,1
rajannya,1
rajanikanta,1
rajashree,1
rajashyamala,1
rahasya,1
rajatha,1
rajayvardan,1
rajavelu,1
rajavel,1
rajatshubhra,1
rajathilaka,1
rajathi,1
rajath,1
rajasi,1
rajatanshu,1
rajatanabhi,1
rajata,1
rajat,1
