Names,frequency
uqbah,6
umar,6
ulfat,4
ubaadah,4
utbah,4
uzair,4
khaleel,4
urwah,4
azhar,4
waseem,3
saeed,3
aamir,3
zaahir,3
kaamil,3
ahmad,3
aarif,3
muneer,3
ameer,3
khawlah,3
nabeel,3
aasim,3
muslim,3
haashim,3
muhammad,3
najeeb,3
shareef,3
nawar,3
noor,3
usaamah,3
nooh,3
muhsin,3
imaad,3
zahrah,3
anwaar,3
amjad,3
umair,3
anees,3
aadil,3
faisal,3
zaheer,3
naeema,3
waleed,3
batool,3
wajeeh,3
hafsa,3
ashraf,3
anas,3
sabeeh,3
tawfeeq,3
sameer,3
naseem,3
saleem,3
nadeem,3
faqirah,2
lu'ay,2
almas,2
najwa,2
najmah,2
alia,2
luqmaan,2
rashad,2
ali,2
ubaydullah,2
rasha,2
ubayd,2
ubadah,2
ubaid,2
ubay,2
ubaidah,2
idrees,2
najla,2
amatullah,2
falisha,2
thaqib,2
lama,2
lamees,2
amr,2
ikraam,2
faiza,2
ammar,2
lamya,2
naseerah,2
amir,2
naseer,2
naseemah,2
lateef,2
ameera,2
amaan,2
ameenah,2
ameen,2
tharwat,2
fakhr,2
ihsaan,2
amani,2
leena,2
leila,2
rana,2
iffat,2
shabbeer,2
amal,2
uhban,2
fareeha,2
rasheed,2
uthman,2
uwais,2
uwayam,2
uzayr,2
fari'ah,2
ahlam,2
ahad,2
sayid,2
waa'il,2
waahid,2
maha,2
faris,2
rayhaan,2
wafa,2
sawsan,2
afrah,2
afraa,2
nafeesah,2
nafeesa,2
nafees,2
afeef,2
waheed,2
naeem,2
afaf,2
adnan,2
humam,2
reem,2
huma,2
sarosh,2
reema,2
aida,2
uthmaan,2
umaarah,2
madeeha,2
lutf,2
lutfi,2
umarah,2
akram,2
fareed,2
umayr,2
rasheedah,2
umayyah,2
fareedah,2
shafeeq,2
rashid,2
ma'n,2
hussein,2
najat,2
akbar,2
najam,2
umran,2
unais,2
unal,2
unays,2
urfee,2
urooj,2
aisha,2
usaid,2
usamah,2
usayd,2
farhat,2
usman,2
husn,2
rajab,2
zyva,2
shafeeqah,2
azeem,2
ayman,2
qutaybah,2
suhayb,2
kamal,2
suha,2
dahma,2
azeemah,2
nu'man,2
azeeza,2
azhaar,2
jaabir,2
kaleem,2
qudamah,2
azraa,2
karam,2
kareem,2
sulayman,2
sultaan,2
daria,2
ismat,2
raamiz,2
raashid,2
shams,2
rabab,2
kauthar,2
deen,2
kawthar,2
shameemah,2
shameem,2
athar,2
nida,2
kabeer,2
shatha,2
khadeeja,2
jameela,2
banan,2
jamaal,2
bilal,2
qamar,2
nyla,2
jameel,2
omar,2
shaukat,2
jawad,2
jameelah,2
jauhar,2
qadeer,2
basheera,2
shihab,2
nusrat,2
balqis,2
bishr,2
jalaal,2
jihad,2
siraaj,2
bahar,2
qasim,2
burdah,2
baha,2
qatadah,2
jumaana,2
bushra,2
qawee,2
jummal,2
junaid,2
nuha,2
rabeea,2
shakeel,2
ikrimah,2
fadi,2
rahmat,2
anwar,2
iman,2
fadl,2
tasadduq,2
aqeelah,2
tariq,2
faarooq,2
shaheed,2
areeb,2
areebah,2
areej,2
raheemah,2
nawal,2
tasneem,2
anjum,2
fahad,2
nasreen,2
kulthoom,2
faheem,2
faheemah,2
nasira,2
nadia,2
taybah,2
aneesah,2
aneesa,2
nasim,2
nasiha,2
labeeb,2
tayyibah,2
anbar,2
tanweer,2
faaris,2
taahir,2
khateeb,2
nazeefah,2
nazeeha,2
nazeer,2
nazeerah,2
rafeeqah,2
asgar,2
tabassum,2
nawfal,2
durrah,2
khalid,2
khaleeq,2
shajee'ah,2
asiya,2
aslam,2
asalah,2
asad,2
tajammul,2
inaya,2
talal,2
inas,2
talha,2
arwa,2
talhah,2
inaam,2
arshad,2
tamanna,2
tameem,2
tameez,2
faakhir,2
tamkeen,2
aroob,2
adham,2
qaadir,2
ruqaya,2
abdul-haleem,2
zubair,2
muhannad,2
abdul-kareem,2
abdul-jaleel,2
zoya,2
abdul-haseeb,2
zaahirah,2
aatikah,2
mobeen,2
abdul-hameed,2
aatiqah,2
salma,2
mashkoor,2
aatirah,2
zafar,2
masoud,2
saleemah,2
hayat,2
abdul-baasit,2
abdul-baari,2
mateen,2
abdul-aleem,2
zaahid,2
aasif,2
zaheerah,2
yazeed,2
yasir,2
marghoob,2
abdul-rasheed,2
samar,2
yasmine,2
aaqilah,2
fuad,2
salwa,2
abdul-qaadir,2
safa,2
aarifah,2
abdul-lateef,2
yoonus,2
yoosuf,2
marwan,2
abdul-mujeeb,2
maryam,2
safdar,2
saarah,2
salman,2
muslih,2
muhaimin,2
abdul-aalee,2
saaliha,2
aani fatimah khatoon,2
saabir,2
sagheer,2
ghiyaath,2
muntasir,2
hasan,2
sagheerah,2
haamid,2
ghusoon,2
muneerah,2
haneef,2
sahar,2
muneeb,2
zia,2
munawwar,2
zeenat,2
mukarram,2
haneefah,2
saad,2
mukhtaar,2
saahir,2
mumtaaz,2
zayd,2
sahl,2
hanan,2
safwan,2
matloob,2
zain,2
saalih,2
abbas,2
mawiya,2
zahraa,2
hamood,2
zaid,2
salah,2
salaam,2
misbaah,2
safiyyah,2
murshid,2
zakee,2
ghauth,2
ziyad,2
hassan,2
hassaan,2
mirsab,2
maysoon,2
hasna,2
zakariya,2
sakeenah,2
hana,2
aanisah,2
salmaa,2
mutasim,2
fawziyah,2
abeer,2
sana,2
naajidah,2
hafs,2
haleem,2
naadir,2
widad,2
wijdan,2
aakifah,2
zuhrah,2
huda,2
aalam,2
wakeel,2
hind,2
zuhoor,2
malak,2
ridha,2
aalia,2
ablaa,2
waqaar,2
haifa,2
nabeelah,2
nabhan,2
majeed,2
warda,2
wardah,2
nabeeha,2
hosaam,2
majd,2
mubeenah,2
aabidah,2
aabid,2
waseemah,2
makhdoom,2
samir,2
malik,2
aadab,2
sameenah,2
muzaffar,2
sarah,2
fatima,2
yaman,2
mufeed,2
abdullah,2
adeel,2
zuhayr,2
mansoor,2
aamaal,2
adeeb,2
sarim,2
sameeha,2
maqbool,2
aaminah,2
aamirah,2
feroz,2
nada,2
muzzammil,2
hafeezah,2
rabbaanee,1
qaim,1
sabiq,1
rafay,1
qais,1
rabbani,1
rabail,1
saboor,1
rabb,1
raees,1
rafa,1
sabina,1
rabar,1
raeesah,1
saajidah,1
sabil,1
rafan,1
saal,1
radi,1
radhiyaa,1
rabbiya,1
rabiya,1
radhia,1
radhiyyah,1
saaiq,1
qadar,1
qabool,1
sabir,1
qadi,1
sabiqah,1
qabilah,1
qadim,1
radhee,1
rabah,1
radeyah,1
rabitah,1
rabee,1
sabirah,1
rabit,1
rabiah,1
qabeel,1
rabia,1
saahirah,1
qadriyyah,1
rabi',1
radhwa,1
qahtan,1
qailah,1
rabee'ah,1
rabee',1
saajid,1
sabeeyah,1
