Names,frequency
dumalsha,2
akeesha,2
mahima,2
melanka,2
thidas,2
dilshika,2
thilara,2
rigasha,2
nuthara,2
behansa,2
nimra,2
diknitha,2
vihansa,2
thinara,2
sadeera,2
diloshana,2
vimashi,2
haritha,2
amilka,2
dulmitha,2
vimalsha,2
ayuka,2
nuhansa,2
nimna,2
radishka,2
ayoddya,2
sandeesha,2
nithika,2
nadula,2
manoddya,2
danitha,2
dilanka,2
chamuditha,2
shashera,2
yuhansa,2
rumika,2
sithika,2
ashvika,2
insuka,2
dinsara,2
okithma,2
shenu,2
dilansha,2
nethmika,2
bimalsha,2
hiranya,2
hiruja,2
muditha,2
lisansa,2
dulhara,2
ithiksha,2
ruwisha,1
ruviru,1
ruwith,1
ruwinsa,1
ruveth,1
ruwinka,1
ruwindi,1
aakithya,1
ruwithi,1
saduwara,1
sakun,1
sakithmi,1
sakithma,1
sakith,1
sajana,1
sahini,1
sahendra,1
saheli,1
sagith,1
sadil,1
ruwithma,1
sadewni,1
sadewmi,1
sadew,1
sadesha,1
sadesh,1
sades,1
sadeesh,1
sachethana,1
sachen,1
ruven,1
rugeeth,1
ruveesha,1
risandi,1
rigash,1
rethushi,1
rethni,1
rethika,1
resuni,1
reshmindi,1
resheni,1
reshani,1
reshan,1
reshadi,1
resandu,1
renushi,1
renruvi,1
renisha,1
reneesha,1
rehendu,1
rehasni,1
rehansha,1
rehansa,1
rehan,1
reha,1
ravishka,1
ravindi,1
ravija,1
ravesh,1
rathjitha,1
rasuni,1
risaja,1
risara,1
rusiru,1
risathya,1
rusirindi,1
rushev,1
runesh,1
rumeda,1
ruhansa,1
ruhalshi,1
sakuni,1
rovinu,1
rovel,1
rosindu,1
roshni,1
roshmi,1
roshika,1
roneesha,1
romith alen,1
romishka,1
romeshika,1
riyoni,1
rivka,1
riveen,1
rithu,1
rithmi,1
rithira,1
risone,1
risinu,1
risindu,1
rishni,1
sakuna,1
sandanika,1
salindu,1
sashini,1
sasnithi,1
sasnitha,1
sasni,1
sasnada,1
sasmitha,1
sasmili,1
sasith,1
sasindu,1
sasindi,1
sasiki,1
sashintha,1
sashen,1
sasvindi,1
sasenya,1
saseni,1
saseli,1
sasanya,1
sasanka,1
sasandi,1
sasadi,1
saruthi,1
sarindu,1
sarindi,1
saranya,1
sasvidu,1
sasvindu,1
samadith,1
savinda,1
sayuni,1
sayumi,1
sayumdi,1
sayul,1
sayara,1
sawandi,1
savinya,1
savinu,1
savini,1
savindu,1
savindi,1
saviddya,1
sasviru,1
saveen,1
savandi,1
saundarrya,1
sathsilu,1
sathnidu,1
sathnidi,1
sathnadi,1
sathmira,1
sathmidu,1
sathmal,1
sathira,1
sanyuga,1
sanya,1
sanuthi,1
sandasi,1
sandupama,1
sandunika,1
sandul,1
sandini,1
sandil,1
sandewni,1
sandewmi,1
sandewma,1
sandelka,1
sandeera,1
sandayuru,1
sandapami,1
sanuth,1
rashvini,1
sandani,1
sandaneth,1
sandamini,1
sandamina,1
sandalu,1
sandali,1
sanahas,1
samithri,1
samidu,1
samali,1
saneera,1
saneesha,1
saneli,1
sanhitha,1
sanushi,1
sanupa,1
sanumi,1
sanuli,1
sanuki,1
sanuka,1
sanujaya,1
sanujana,1
sanuja,1
sanuga,1
sanudi,1
sanudha,1
santhula,1
santhul,1
sanoli,1
sanmira,1
sanjali,1
sanithya,1
sanithu,1
sanithi,1
sanila,1
sanijaya,1
sanidu,1
rasindu,1
ranuli,1
rashmindi,1
rashmina,1
nithili,1
nithila,1
nithil,1
nithijaya,1
nitheesha,1
nithara,1
nisuri,1
nisura,1
nisitha,1
nisith,1
nishithma,1
nishakkya,1
nisari,1
nisadima,1
niroshika,1
niroda,1
niresh,1
nirash,1
nipulma,1
nimyanjali,1
nimuthu,1
nimthara,1
nimshi,1
nimshadi,1
nimsath,1
nithilka,1
nithinadina,1
nithish,1
nuwandi,1
omiru,1
omindi,1
omethmi,1
ometh,1
omesha,1
omalmith,1
oleena,1
okitha,1
okindu,1
okidu,1
nuwanidu,1
nuwandara,1
nithuli,1
nureshi,1
nuresh,1
nuran,1
nulansa,1
nulan,1
nuhansha,1
nugara,1
nivenya,1
nithya,1
nithuni,1
nithulka,1
nimsara,1
nimnoth,1
nimni,1
nethdula,1
nethuli,1
nethula,1
nethul,1
nethuki,1
nethuka,1
nethuja,1
nethugi,1
nethsilu,1
nethsarani,1
nethmitha,1
nethmina,1
nethari,1
nethumi,1
nethara,1
nethanya,1
nethangi,1
nethan,1
neshari,1
nesagi,1
nerammya,1
nemitha,1
nemin,1
nehari,1
nehara,1
nethulima,1
nethuni,1
nimnada,1
nikini,1
nimisadu,1
nimeth,1
nimdew,1
nilock,1
nilmi,1
nileshi,1
nilambara,1
nikolshana,1
nikitha,1
nikith,1
nikita,1
nikila,1
nethunika,1
nikesha,1
nikesh,1
nijel,1
nihari,1
nihansa,1
nidyana,1
nidyan,1
nidiya,1
nethushima,1
nethusadi,1
nethupa,1
omishka,1
omitha,1
omithma,1
rahish,1
randina,1
randila,1
randeepa,1
ramuditha,1
ramiru,1
ramidi,1
ramal,1
rakithu,1
rakitha,1
rajin,1
raini,1
radil,1
ranhiru,1
radeeshan,1
radeesha,1
radeesh,1
radawa,1
radale,1
pyara,1
puvindu,1
purni,1
purmi,1
pumidu,1
pumidi,1
randul,1
ranjina,1
pulindu,1
sehadu,1
rashmin,1
rashindi,1
rashika,1
rashera,1
rashen,1
rashel,1
rashani,1
rashan,1
rasadun,1
ranuvitha,1
ranushan,1
ranuka,1
ranmi,1
ranthula,1
ranthis,1
ransithu,1
ransitha,1
ransith,1
ransika,1
ransan,1
ranruwan,1
ranruvi,1
ranmith,1
ranmini,1
pulinga,1
pulinda,1
onel,1
ovindi,1
panchadi,1
pamuditha,1
pamudi,1
pamodha,1
pamith,1
pamidu,1
pahanya,1
pahandi,1
pabalu,1
ovini,1
ovindu,1
osiru,1
pasandi,1
oshitha,1
oshini,1
oshika,1
oshen,1
oshari,1
oshani,1
oshana,1
oshan,1
oshadh,1
onisha,1
onela,1
pansilu,1
pasandul,1
pulasthi,1
poshya,1
pulanga,1
pudithya,1
pubudmi,1
prikshala,1
premandi,1
pravishka,1
prathik,1
prathibavi,1
pramosha,1
pramith,1
prabashwara,1
poorni,1
pasanja,1
piyumneth,1
piumika,1
pinidu,1
pinidi,1
pethmi,1
peshan,1
pemidu,1
pehesara,1
pavith,1
pavara,1
pasindya,1
sayurini,1
senith,1
sehas,1
thrivon,1
umeth,1
umeshika,1
umesh,1
umendra,1
umaya,1
udithma,1
udarn,1
udani,1
udaneth,1
tishani,1
tishan,1
tisari,1
tisadi,1
tinara,1
timasha,1
timari,1
thuwesha,1
thuwesh,1
thuvindu,1
thusumli,1
thushadi,1
thunidu,1
thumal,1
thulnith,1
thulnethi,1
unith,1
upeshala,1
ushintha,1
venudi,1
vidas,1
vichakshani,1
vibushitha,1
vethun,1
vethula,1
vethuja,1
vethila,1
venuth,1
venuraka,1
venul,1
venuka,1
venuda,1
ushmila,1
vathsuka,1
vathisha,1
vatheesha,1
vakshitha,1
uvindu,1
uvindi,1
uven,1
uvanya,1
uthumi,1
uthsara,1
ushmitha,1
thullya,1
thrishni,1
sehath,1
thiwandara,1
thinugi,1
thinuga,1
thinudi,1
thinithi,1
thineth,1
thinal,1
thimuth,1
thimethya,1
thimath,1
thimali,1
thilinnya,1
thihasna,1
thewmitha,1
thewmina,1
thewmin,1
thewmal,1
thewjan,1
thewanjith,1
theviru,1
thevindu,1
thevindi,1
thevin,1
theshari,1
theshana,1
theshal,1
thinuk,1
thinuka,1
thinumi,1
thismitha,1
thiviru,1
thivindu,1
thivindi,1
thivenya,1
thiven,1
thivantha,1
thisura,1
thisuni,1
thisumi,1
thisum,1
thisuli,1
thisini,1
thinura,1
thisidi,1
thishansha,1
thisethmi,1
thisath,1
thisari,1
thisarani,1
thisansa,1
thisandi,1
thisallya,1
thisal,1
thisaga,1
vidasna,1
vidudini,1
vidulana,1
vidunadi,1
yehari,1
yehara,1
yehansa,1
yehan,1
yatharth,1
yasiru,1
yasira,1
yasintha,1
yasini,1
yashni,1
yashika,1
yasasvi,1
yasara,1
yasandu,1
yasamina,1
yanushi,1
yanuri,1
yansili,1
yaminsa,1
yalitha,1
yalindu,1
yahansa,1
yahangi,1
yahali,1
wasura,1
yehen,1
yemansa,1
yenara,1
yohan,1
yuvani,1
yuthmi,1
yusala,1
yupasna,1
yumira,1
yumal,1
yugantha,1
yoshuwa,1
yonal,1
yomashi,1
yomash,1
yevine,1
yendive,1
yethula,1
yethmin,1
yethma,1
yenushi,1
yenusha,1
yenul,1
yenuki,1
yenuka,1
yensith,1
yenma,1
yenelka,1
warushi,1
warnitha,1
wanushi,1
vimalshi,1
vinudini,1
vinudi,1
vinoshi,1
vinon,1
vinidul,1
vinduli,1
vindiya,1
vinddya,1
vimasha,1
vimarshana,1
vimansha,1
vilhan,1
vinuja,1
vikum,1
vihini,1
viheli,1
vihas,1
vihangi,1
vihanga,1
vihandi,1
vihagi,1
vihaga,1
vidusha,1
vidusara,1
vinuga,1
vinuka,1
wanujitha,1
vishmitha,1
vushan,1
volisha,1
voleesha,1
viyath,1
viveka,1
vithuni,1
vithumi,1
vithuli,1
vithula,1
vithila,1
vishni,1
vishmika,1
vinul,1
vishani,1
vishan,1
vishal,1
viruna,1
virangi,1
viran,1
vinuthi,1
vinuth,1
vinuri,1
vinura,1
vinuli,1
thesath,1
thesari,1
thepuli,1
sithmi,1
shenal,1
shemaya,1
shelon,1
shelomi,1
sheli,1
shelani,1
sheini,1
shaven,1
shashvini,1
shashvindu,1
shashni,1
shashmi,1
shashlini,1
shashlina,1
shashini,1
shashindi,1
shashila,1
shashen,1
shanuthi,1
shanuli,1
shanul,1
shanuk,1
shaniya,1
shanilka,1
shaneli,1
shenara,1
shenil,1
shenoy,1
sihansa,1
sithil,1
sithiki,1
sithija,1
sitheja,1
sitheesha,1
sinyura,1
sineli,1
sinal,1
sihina,1
sihathma,1
sihath,1
shwethika,1
shenutha,1
shuwetha,1
shivona,1
shiran,1
sheyali,1
sheyal,1
shevon,1
sheveena,1
sheshadi,1
sheri,1
sheran,1
shera,1
shanel,1
shanali,1
shamendri,1
nehandha,1
senullya,1
senuli,1
senula,1
senul,1
senukith,1
senuk,1
senuhas,1
senudri,1
senudi,1
senithu,1
senitha,1
seniru,1
senupa,1
senhiru,1
seneth,1
senendi,1
senehas,1
senaya,1
senan,1
senal,1
semuthu,1
semika,1
semel,1
sehitha,1
senumitha,1
senuruk,1
shamen,1
seyali,1
shaluka,1
shaluk,1
shalomi,1
shalom,1
shaliya,1
shalani,1
shakkya,1
shaini,1
shahensa,1
shaheema,1
seyara,1
sewmitha,1
senuth,1
sevitha,1
sethum,1
sethuli,1
sethija,1
sethaksha,1
sethaga,1
seshana,1
seshan,1
senuthri,1
senuthmi,1
senutha,1
sithlini,1
sithmina,1
thenuthmi,1
sithmuka,1
thasidu,1
thashmika,1
thashmi,1
thashen,1
tharupama,1
tharunadi,1
tharullya,1
tharulka,1
tharuli,1
tharuki,1
tharuk,1
tharudi,1
tharithma,1
tharini,1
tharindya,1
tharindra,1
tharindi,1
tharin,1
tharaki,1
thanuth,1
thanushki,1
thanushka,1
thanusha,1
thanumitha,1
thanula,1
thasini,1
thasith,1
thasitha,1
theja,1
thenuri,1
thenura,1
thenula,1
thenuki,1
thenuka,1
thenuji,1
thenuja,1
thenuga,1
themika,1
thejana,1
thejan,1
thehas,1
thaswina,1
theharth,1
thehani,1
theertha,1
thedasvin,1
thedan,1
thaveru,1
thaveesh,1
thathsilu,1
thathsarani,1
thathsara,1
thathmira,1
thanuki,1
thaneesha,1
thamod,1
soraya,1
suwan,1
suwahas,1
surindi,1
supipi,1
sunera,1
sunelka,1
sumethma,1
sumal,1
sulakkya,1
subath,1
soyal,1
siyum,1
suwanya,1
siyathra,1
siyapath,1
sithuni,1
sithumsara,1
sithumina,1
sithumdi,1
sithuli,1
sithuki,1
sithuka,1
sithsisi,1
sithni,1
suwani,1
suwindi,1
thamashi,1
tehan,1
thamasha,1
thamalka,1
teveen,1
tesi,1
tesheen,1
teshan,1
tenuri,1
tenuli,1
tenuka,1
tenuji,1
tehani,1
tavesh,1
suwini,1
tatsilu,1
taruki,1
tanushi,1
tanuka,1
taneesha,1
tanaka,1
tamilka,1
tamesh,1
tamara,1
talia,1
swenal,1
nehansa,1
nadul,1
nehan,1
dinarth,1
dihara,1
dihansa,1
diduli,1
didulanga,1
didula,1
didul,1
dhamsha,1
dhamli,1
dewthilini,1
dewthilina,1
dewtharu,1
dewshitha,1
dewsara,1
dewram,1
dewnula,1
dewnithi,1
dewnitha,1
dewnith,1
dewni,1
dewmith,1
dewmin,1
dewmika,1
dewjani,1
dewitha,1
dewdu,1
dihasa,1
dilana,1
dilanaka,1
dilumi,1
dinala,1
dinal,1
dinadi,1
dimudu,1
dimsith,1
dimsara,1
dimathmi,1
dimantha,1
dimalmi,1
dimali,1
dilusha,1
dilshari,1
dilashi,1
dilshara,1
dilsha,1
dilsara,1
dilni,1
dilneth,1
dilmith,1
dilmina,1
dilmi,1
dilmani,1
dilin,1
dilenya,1
devri,1
devoshi,1
devindi,1
danara,1
dehara,1
dehan,1
deemantha,1
dasula,1
dasiru,1
dasini,1
danuja,1
daniyel,1
daniru,1
danidu,1
danesha,1
damyuru,1
dehemi,1
damsilu,1
damsath,1
damsana,1
damrisi,1
damniru,1
damnidu,1
damnath,1
damithu,1
damishka,1
damhiru,1
dakshitha,1
dehasa,1
dehen,1
devin,1
denuththara,1
devarshi,1
devansha,1
devansa,1
deshni,1
deshmi,1
desha,1
desath,1
desas,1
desanduli,1
desadul,1
denuwana,1
denushka,1
demini,1
denush,1
denul,1
denudi,1
denithi,1
denisha,1
denethu,1
denethni,1
denethmi,1
denethi,1
deneth,1
deneesha,1
dinali,1
dineli,1
dahamya,1
dinethma,1
dulnitha,1
dulni,1
dulnethi,1
dulmith,1
dulmina,1
dulmin,1
dulmi,1
dulmeth,1
dulmen,1
dullna,1
dulithi,1
dulitha,1
dulith,1
dulinsa,1
dulini,1
dulina,1
dulin,1
duleshni,1
dulesha,1
dulen,1
duleesha,1
dulashi,1
dulanya,1
dulantha,1
dulansa,1
dulsha,1
dulshani,1
dulshara,1
emal,1
eshala,1
esandu,1
esandi,1
erayan,1
erandith,1
enosha,1
enosh,1
enorck,1
emith,1
emasha,1
emalka,1
eleesha,1
dulshi,1
edith,1
dwin,1
duwen,1
duvindu,1
duveni,1
dushani,1
dunithi,1
dunethma,1
duneesha,1
dunara,1
dumalami,1
dulangi,1
dulanga,1
dulandara,1
dinol,1
dinupama,1
dinumith,1
dinuli,1
dinul,1
dinuki,1
dinuka,1
dinuji,1
dinujana,1
dinugi,1
dinudika,1
dinudi,1
dinlini,1
dinushan,1
dinithi,1
dinisara,1
dinimuthu,1
dinili,1
dinijaya,1
dinidu,1
dinidi,1
dinhas,1
dinethya,1
dinethra,1
dinethmi,1
dinura,1
dinuth,1
dulan,1
divethma,1
duhara,1
duhansa,1
duasha,1
diyone,1
diyansa,1
diyana,1
diyan,1
divyani,1
divyangi,1
divyangani,1
divyanga,1
diveesha,1
dinuthni,1
dithira,1
disuli,1
disira,1
disidu,1
disha,1
disen,1
disas,1
disana,1
disala,1
disal,1
dirineth,1
dakshina,1
dahamsa,1
eshani,1
bigun,1
ashaya,1
ashani,1
ashal,1
asel,1
arundi,1
arshinsa,1
aroshika,1
aroshi,1
arosh,1
arkarshi,1
areli,1
arayan,1
araliya,1
araddya,1
apurva,1
apsara,1
anuthmi,1
anushima,1
anusas,1
anusara,1
anuki,1
anujitha,1
anuja,1
anuhansi,1
anuditha,1
ashel,1
ashennya,1
ashinsa,1
ayoni,1
benul,1
belindu,1
bavindu,1
bathika,1
basuri,1
basith,1
bashitha,1
bashini,1
bashana,1
banuja,1
ayosh,1
ayone,1
ashvini,1
ayomal,1
ayisha,1
ayeshma,1
ayesh,1
ayen,1
ayansa,1
ayan,1
athsara,1
athista,1
asini,1
asindu,1
anudima,1
anudha,1
anoshi,1
adeekshana,1
aharsha,1
ahansa,1
agrani,1
agbow,1
agathisi,1
agash,1
aditha,1
adishani,1
adesh,1
adele,1
adeepa,1
adam,1
akarsha,1
achira,1
achinthya,1
abishani,1
abises,1
abinuka,1
abinada,1
abimannya,1
abimani,1
abilash,1
abeetha,1
abeesha,1
ahasika,1
aken,1
anidu,1
amandi,1
andrew,1
anannya,1
anagi,1
amindi,1
aminda,1
amelia,1
ameesha,1
amayuru,1
amaya,1
amashi,1
amasha,1
amameth,1
akenya,1
amalmi,1
amalka,1
aloka,1
aliyah,1
akshadi,1
akithma,1
akith,1
akila,1
akidu,1
akethya,1
akeshia,1
benula,1
bihaga,1
dahamdi,1
bihakshi,1
chasindi,1
charunndya,1
charukkya,1
charin,1
chanya,1
chanuthmi,1
chanuth,1
chanul,1
chanuka,1
chanuk,1
chanuga,1
chanudi,1
chanmira,1
chanith,1
chanidula,1
chanethi,1
chaneth,1
chaneru,1
chanelka,1
chaneli,1
chandupa,1
chandula,1
chamothma,1
chamodhi,1
chamilki,1
chathika,1
chathruka,1
chathuki,1
chenula,1
chithuli,1
chithila,1
chithika,1
chethika,1
chethana,1
chenuthi,1
chenushka,1
chenushi,1
chenush,1
chenumi,1
chenuli,1
chenethmi,1
chathumika,1
chenethma,1
chenethi,1
chenal,1
chavindi,1
chathvidu,1
chathushi,1
chathush,1
chathurangai,1
chathunka,1
chathunika,1
chathumina,1
chamilka,1
chamidu,1
chamathka,1
bimsitha,1
binula,1
binuki,1
binuka,1
binudi,1
bindiya,1
binari,1
binara,1
binali,1
binakshi,1
binadi,1
binadha,1
bimsari,1
binusha,1
bimsara,1
bimashi,1
bimanli,1
bilesha,1
bilanka,1
bilani,1
bihindu,1
bihesha,1
bihara,1
bihandu,1
bihan,1
binura,1
bipul,1
chamathi,1
buvindu,1
chamath,1
chamasha,1
chamalshi,1
chamalsha,1
chamallka,1
chamadith,1
chalukkya,1
chaluka,1
chalitha,1
chalani,1
buwanija,1
buvani,1
bithul,1
buvaneka,1
buthpriya,1
bumidu,1
budwin,1
brynn,1
brinal,1
bosilu,1
bonura,1
bonula,1
bonuka,1
bonidu,1
eshan eden,1
eshara,1
nawoli,1
mark,1
malinsa,1
malindu,1
malindi,1
malika,1
maleesha,1
mahila,1
maheshika,1
maheema,1
magitha,1
madushalani,1
maduka,1
maduhansi,1
madeesha,1
lothika,1
lohasha,1
lohara,1
lochana,1
liyana,1
livinu,1
liviniya,1
liven,1
lithuni,1
lithumi,1
lithulki,1
lithulka,1
malinsha,1
malitha,1
malithu,1
manodi,1
manuthi,1
manuth,1
manuki,1
manuka,1
manuji,1
manujaya,1
manuja,1
manudi,1
manudha,1
manothmi,1
manoli,1
manoda,1
malki,1
manmitha,1
manith,1
manidu,1
maneth,1
manelka,1
mandive,1
mandilu,1
mandil,1
mandara,1
mandakini,1
malshi,1
lithuli,1
lithula,1
lithmini,1
lakdini,1
lasitha,1
lasal,1
laneesha,1
lakvidu,1
lakshane,1
lakmitha,1
lakmith,1
lakma,1
lakira,1
lakidu,1
lakeesha,1
kushmitha,1
laveen,1
kushil,1
kushani,1
kushal,1
kusalmeth,1
kulshani,1
kulshali,1
kulitha,1
kulindu,1
kulansa,1
kuchila,1
krishinya,1
lavanya,1
layan,1
lithika,1
linasha,1
lithara,1
lithaja,1
lisithi,1
lishith,1
lisath,1
lisasna,1
lisara,1
lisanya,1
lisadi,1
linoja,1
linodh,1
limitha,1
lechana,1
limansa,1
lihini,1
lihansa,1
lewmitha,1
levithu,1
lesansa,1
lesanma,1
lendula,1
lenasha,1
lemasha,1
lehansi,1
mapasha,1
matheesha,1
krishal,1
mathika,1
misheli,1
mishadi,1
minusha,1
minuri,1
minupa,1
minuli,1
minula,1
minul,1
minuka,1
minuk,1
minsara,1
minsaha,1
minosha,1
minoli,1
minodh,1
minila,1
minidula,1
minidu,1
minha,1
mineth,1
mindula,1
mindara,1
minaga,1
minadi,1
minadha,1
mitheesha,1
mithili,1
mithsara,1
aannya,1
nawani,1
navindu,1
naveesh,1
navani,1
nashmika,1
nanvidu,1
nandil,1
namitha,1
nalika,1
najeelia,1
naduli,1
nadinsha,1
mithuki,1
nadinsa,1
nadewni,1
nadeera,1
nadeeja,1
moneesha,1
moditha,1
miyuru,1
miyurangi,1
miyura,1
mithuru,1
mithumi,1
milindu,1
mikela,1
mihisara,1
menula,1
methmitha,1
methmika,1
methmi,1
methila,1
methdina,1
methdam,1
methara,1
mesath,1
menuri,1
menura,1
menuli,1
menuka,1
methsilini,1
menudu,1
menath,1
menarth,1
melinsa,1
melan,1
mehansi,1
meditha,1
mayuvindi,1
mayusha,1
mayone,1
mayithi,1
methni,1
methsilu,1
mihiru,1
methusha,1
mihini,1
mihindi,1
mihindee,1
