en,zh_correct,zh_translate_tool1,zh_status_tool1,pinyin_trans_tool1,pinyin_meaning_tool1,g2pc_pos_tool1,g2pc_tones_tool1,g2pc_meaning_tool1,g2pm_tone_tool1
ping,,ping,,"['p', 'i', 'n', 'g']",,nr,"['p', 'i', 'n', 'g']","[None, None, None, None]",['ping']
hong,,洪,,['hong2'],"['flood', 'big', 'great']",nr,['hong2'],['surname Hong'],['hong2']
xue,,XUE,,"['X', 'U', 'E']",,nr,"['X', 'U', 'E']","[None, None, None]",['XUE']
xiu,,xiu,,"['x', 'i', 'u']",,nr,"['x', 'i', 'u']","[None, None, None]",['xiu']
qiu,,qiu,,"['q', 'i', 'u']",,nr,"['q', 'i', 'u']","[None, None, None]",['qiu']
xiang,,Xiang,,"['X', 'i', 'a', 'n', 'g']",,nr,"['X', 'i', 'a', 'n', 'g']","[None, None, None, None, None]",['Xiang']
huan,,Huan,,"['H', 'u', 'a', 'n']",,nr,"['H', 'u', 'a', 'n']","[None, None, None, None]",['Huan']
bo,,博,,['bo2'],['old variant of 博[bo2]'],nr,['bo2'],['extensive'],['bo2']
jing,,Jing,,"['J', 'i', 'n', 'g']",,nr,"['J', 'i', 'n', 'g']","[None, None, None, None]",['Jing']
fang,,方,,['fang1'],"['square', 'power or involution (mathematics)', 'upright', 'honest', 'fair and square', 'direction', 'side', 'party (to a contract, dispute etc)', 'place', 'method', 'prescription (medicine)', 'just when', 'only or just', 'classifier for square things', 'abbr. for square or cubic meter']",nr,['fang1'],['surname Fang'],['fang1']
yanlin,,Yanlin,,"['Y', 'a', 'n', 'l', 'i', 'n']",,nr,"['Y', 'a', 'n', 'l', 'i', 'n']","[None, None, None, None, None, None]",['Yanlin']
bao,,鲍,,['bao4'],['abalone'],nr,['bao4'],['surname Bao'],['bao4']
ling,,ling,,"['l', 'i', 'n', 'g']",,nr,"['l', 'i', 'n', 'g']","[None, None, None, None]",['ling']
heng,,亨,,['heng1'],"['prosperous', 'henry (unit of inductance)']",nr,['heng1'],['prosperous'],['heng1']
an,,一个,,"['yi1', 'ge4']",,m,"['yi1', 'ge4']","['one', 'individual']","['yi1', 'ge4']"
li,,李,,['li3'],['plum'],nr,['li3'],['surname Li'],['li3']
shen,,沉,,['chen2'],"['to submerge', 'to immerse', 'to sink', 'to keep down', 'to lower', 'to drop', 'deep', 'profound', 'heavy']",v,['chen2'],['to submerge'],['chen2']
rong,,rong,,"['r', 'o', 'n', 'g']",,nr,"['r', 'o', 'n', 'g']","[None, None, None, None]",['rong']
xiaodan,,小丹,,"['xiao3', 'dan1']",,nr,"['xiao3', 'dan1']","['small', 'red']","['xiao3', 'dan1']"
xiaojian,,小木,,"['xiao3', 'mu4']",,nr,"['xiao3', 'mu4']","['small', 'surname Mu']","['xiao3', 'mu4']"
tao,,陶,,['tao2'],"['pottery', 'pleased']",nr,['tao2'],['surname Tao'],['tao2']
xiaosheng,,小山,,"['xiao3', 'shan1']",,nr,"['xiao3', 'shan1']","['small', 'surname Shan']","['xiao3', 'shan1']"
xiaowen,,小牛,,"['xiao3', 'niu2']",['calf'],nr,['xiao3 niu2'],['calf'],"['xiao3', 'niu2']"
sying,,Sying,,"['S', 'y', 'i', 'n', 'g']",,nr,"['S', 'y', 'i', 'n', 'g']","[None, None, None, None, None]",['Sying']
hu,,胡,,['hu2'],"['beard', 'mustache', 'whiskers']",nr,['hu2'],['surname Hu'],['hu2']
liang,,梁,,['liang2'],['variant of 梁[liang2]'],nr,['liang2'],['Liang Dynasty (502-557)'],['liang2']
zhen,,Zhen,,"['Z', 'h', 'e', 'n']",,nr,"['Z', 'h', 'e', 'n']","[None, None, None, None]",['Zhen']
liu,,刘,,['liu2'],['surname Liu'],nr,['liu2'],['surname Liu'],['liu2']
jun,,六月,,"['liu4', 'yue4']","['June', 'sixth month (of the lunar year)']",t,['liu4 yue4'],['June'],"['liu4', 'yue4']"
lin,,林,,['lin2'],"['woods', 'forest', 'CL:片[pian4]', 'circle(s) (i.e. specific group of people)', 'a collection (of similar things)']",nr,['lin2'],['surname Lin'],['lin2']
mei,,梅,,['mei2'],['old variant of 梅[mei2]'],nr,['mei2'],['surname Mei'],['mei2']
yusheng,,Yusheng,,"['Y', 'u', 's', 'h', 'e', 'n', 'g']",,nr,"['Y', 'u', 's', 'h', 'e', 'n', 'g']","[None, None, None, None, None, None, None]",['Yusheng']
renshu,,伦森,,"['lun2', 'sen1']",,nr,"['lun2', 'sen1']","['human relationship', 'Mori (Japanese surname)']","['lun2', 'sen1']"
luli,,卢利,,"['lu2', 'li4']",,nr,"['lu2', 'li4']","['surname Lu', 'surname Li']","['lu2', 'li4']"
renxiang,,Renxiang,,"['R', 'e', 'n', 'x', 'i', 'a', 'n', 'g']",,nr,"['R', 'e', 'n', 'x', 'i', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Renxiang']
longwei,,Longwei,,"['L', 'o', 'n', 'g', 'w', 'e', 'i']",,nr,"['L', 'o', 'n', 'g', 'w', 'e', 'i']","[None, None, None, None, None, None, None]",['Longwei']
