en,zh_correct,zh_translate_tool1,zh_status_tool1,pinyin_trans_tool1,pinyin_meaning_tool1,g2pc_pos_tool1,g2pc_tones_tool1,g2pc_meaning_tool1,g2pm_tone_tool1
uqbah,,乌克巴,,"['wu1', 'ke4', 'ba1']",,nr,"['wu1', 'ke4', 'ba1']","['surname Wu', 'to be able to', 'Ba state during Zhou dynasty (in east of modern Sichuan)']","['wu1', 'ke4', 'ba1']"
umar,,乌玛,,"['wu1', 'ma3']",,nr,"['wu1', 'ma3']","['surname Wu', 'agate']","['wu1', 'ma3']"
ulfat,,Ulfat,,"['U', 'l', 'f', 'a', 't']",,nr,"['U', 'l', 'f', 'a', 't']","[None, None, None, None, None]",['Ulfat']
ubaadah,,乌巴达,,"['wu1', 'ba1', 'da2']",,nr,"['wu1', 'ba1', 'da2']","['surname Wu', 'Ba state during Zhou dynasty (in east of modern Sichuan)', 'surname Da']","['wu1', 'ba1', 'da2']"
utbah,,乌特巴,,"['wu1', 'te4', 'ba1']",,nr,"['wu1', 'te4', 'ba1']","['surname Wu', 'special', 'Ba state during Zhou dynasty (in east of modern Sichuan)']","['wu1', 'te4', 'ba1']"
uzair,,乌扎尔,,"['wu1', 'zha1', 'er3']",,nr,"['wu1', 'zha1', 'er3']","['surname Wu', 'to prick', 'thus']","['wu1', 'zha1', 'er3']"
khaleel,,卡莱尔,,"['qia3', 'lai2', 'er3']",,nr,"['qia3', 'lai2', 'er3']","['to block', 'name of weed plant (fat hen, goosefoot, pigweed etc)', 'thus']","['ka3', 'lai2', 'er3']"
urwah,,URWAH,,"['U', 'R', 'W', 'A', 'H']",,nr,"['U', 'R', 'W', 'a', 'H']","[None, None, None, '(slang) (Tw) to steal', None]",['URWaH']
azhar,,阿扎尔,,"['a1', 'zha1', 'er3']",,nr,"['a1', 'zha1', 'er3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'to prick', 'thus']","['a1', 'zha1', 'er3']"
waseem,,Waseem,,"['W', 'a', 's', 'e', 'e', 'm']",,nr,"['W', 'a', 's', 'e', 'e', 'm']","[None, None, None, None, None, None]",['Waseem']
saeed,,赛义德,,"['sai4', 'yi4', 'de2']",,nr,"['sai4', 'yi4', 'de2']","['to compete', 'surname Yi', 'Germany']","['sai4', 'yi4', 'de2']"
aamir,,阿米尔,,"['a1', 'mi3', 'er3']",,nr,"['a1', 'mi3', 'er3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'surname Mi', 'thus']","['a1', 'mi3', 'er3']"
zaahir,,Zaahir,,"['Z', 'a', 'a', 'h', 'i', 'r']",,nr,"['Z', 'a', 'a', 'h', 'i', 'r']","[None, None, None, None, None, None]",['Zaahir']
kaamil,,卡米尔,,"['qia3', 'mi3', 'er3']",,nr,"['qia3', 'mi3', 'er3']","['to block', 'surname Mi', 'thus']","['ka3', 'mi3', 'er3']"
ahmad,,艾哈迈德,,"['ai4', 'ha1', 'mai4', 'de2']",['Ahmed (name)'],nr,['ai4 ha3 mai4 de2'],['Ahmed (name)'],"['ai4', 'ha1', 'mai4', 'de2']"
aarif,,Aarif,,"['A', 'a', 'r', 'i', 'f']",,nr,"['a', 'a', 'r', 'i', 'f']","['(slang) (Tw) to steal', None, None, None, None]",['aarif']
muneer,,Muneer,,"['M', 'u', 'n', 'e', 'e', 'r']",,nr,"['M', 'u', 'n', 'e', 'e', 'r']","[None, None, None, None, None, None]",['Muneer']
ameer,,阿米尔,,"['a1', 'mi3', 'er3']",,nr,"['a1', 'mi3', 'er3']","['prefix used before monosyllabic names, kinship terms etc to indicate familiarity', 'surname Mi', 'thus']","['a1', 'mi3', 'er3']"
khawlah,,Khawlah,,"['K', 'h', 'a', 'w', 'l', 'a', 'h']",,nr,"['K', 'h', 'a', 'w', 'l', 'a', 'h']","[None, None, None, None, None, None, None]",['Khawlah']
nabeel,,纳贝尔,,"['na4', 'bei4', 'er3']",,nr,"['na4', 'bei4', 'er3']","['surname Na', 'surname Bei', 'thus']","['na4', 'bei4', 'er3']"
